,Label,Year,Month,Capacity,Rate,$ Amount,Energy,Rate.1,$ Amount.1,Total,$/MWh
0,APA--Hoover Capacity and Energy,2018,Jan,102243,3.04,310818.72000000003,6846,17.52,119941.92,430760.64,58.42150744960561
1,APA--Hoover Capacity and Energy,2018,Feb,102243,3.04,310818.72000000003,11143,17.52,195225.36,506044.08,40.91363008166562
2,APA--Hoover Capacity and Energy,2018,Mar,102243,3.04,310818.72000000003,14113,17.52,247259.75999999998,558078.48,35.04357542691136
3,APA--Hoover Capacity and Energy,2018,Apr,102243,3.04,310818.72000000003,14632,17.52,256352.63999999998,567171.36,34.26239475123018
4,APA--Hoover Capacity and Energy,2018,May,102243,3.04,310818.72000000003,14641,17.52,256510.32,567329.04,34.249336793934845
5,APA--Hoover Capacity and Energy,2018,Jun,102243,3.04,310818.72000000003,13095,17.52,229424.4,540243.12,36.75567926689576
6,APA--Hoover Capacity and Energy,2018,Jul,102243,3.04,310818.72000000003,11950,17.52,209364,520182.72000000003,39.029934728033474
7,APA--Hoover Capacity and Energy,2018,Aug,102243,3.04,310818.72000000003,10625,17.52,186150,496968.72000000003,42.2735265882353
8,APA--Hoover Capacity and Energy,2018,Sep,102243,3.04,310818.72000000003,10650,17.52,186588,497406.72000000003,42.20485633802817
9,APA--Hoover Capacity and Energy,2018,Oct,98362,2.94,289184.27999999997,10104,17,171768,460952.27999999997,41.12077197149643
10,APA--Hoover Capacity and Energy,2018,Nov,98362,2.94,289184.27999999997,10826,17,184042,473226.27999999997,39.21201551819693
11,APA--Hoover Capacity and Energy,2018,Dec,98362,2.94,289184.27999999997,6835,17,116195,405379.27999999997,54.809331382589605
12,APA--Hoover Capacity and Energy,2018,Total,1215273,,3664921.32,135460,,2358821.4,6023742.720000002,44.46879314926917
26,APA--Hoover Capacity and Energy,2019,Jan,98362,2.94,289184.27999999997,7028,17,119476,408660.27999999997,58.147450199203185
27,APA--Hoover Capacity and Energy,2019,Feb,98362,2.94,289184.27999999997,9928,17,168776,457960.27999999997,46.128150684931505
28,APA--Hoover Capacity and Energy,2019,Mar,98362,2.94,289184.27999999997,11522,17,195874,485058.27999999997,42.09844471445929
29,APA--Hoover Capacity and Energy,2019,Apr,98362,2.94,289184.27999999997,14204,17,241468,530652.28,37.359355111236276
30,APA--Hoover Capacity and Energy,2019,May,98362,2.94,289184.27999999997,15093,17,256581,545765.28,36.1601590141125
31,APA--Hoover Capacity and Energy,2019,Jun,98362,2.94,289184.27999999997,12971,17,220507,509691.27999999997,39.29467889908257
32,APA--Hoover Capacity and Energy,2019,Jul,98362,2.94,289184.27999999997,13014,17,221238,510422.27999999997,39.221014292300595
33,APA--Hoover Capacity and Energy,2019,Aug,98362,2.94,289184.27999999997,11837,17,201229,490413.27999999997,41.43053814311058
