"datetime","AMA","Ak-Chin","AWBA","AZWC","CAGRD","Chandler","EPCOR","Gilbert","Glendale","Goodyear","GRIC","Oro Valley","OTHER","Peoria","Phoenix","Scottsdale","Surprise","Tempe","Tohono O'odham","Tucson","ASARCO"
2016-01-01,"Phoenix",0,0,0,887,1500,0,1000,0,703,473,NA,798,529,0,1000,0,94,0,NA,NA
2016-01-01,"Pinal",NA,0,0,0,NA,NA,NA,NA,NA,180,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-01,"Tucson",NA,1266,NA,0,NA,NA,NA,NA,NA,NA,89,1183,NA,350,NA,NA,NA,592,5077,NA
2016-02-01,"Phoenix",0,500,0,1931,1000,0,0,0,1553,3000,NA,4052,887,0,2344,0,94,1129,NA,NA
2016-02-01,"Pinal",NA,700,0,0,NA,NA,NA,NA,NA,2308,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-01,"Tucson",NA,1020,NA,965,NA,NA,NA,NA,NA,NA,1725,2333,NA,650,NA,NA,NA,576,8246,NA
2016-03-01,"Phoenix",0,1000,375,2504,2300,328,1275,500,2000,9230,NA,4007,826,0,6528,1878,94,4138,NA,NA
2016-03-01,"Pinal",NA,1090,0,0,NA,NA,NA,NA,NA,6907,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-01,"Tucson",NA,1270,NA,0,NA,NA,NA,NA,NA,NA,2826,2771,NA,500,NA,NA,NA,687,12173,NA
2016-04-01,"Phoenix",0,3233,0,6043,0,1705,5170,0,3202,7438,NA,1512,2,0,0,2246,94,4256,NA,NA
2016-04-01,"Pinal",NA,1200,2500,0,NA,NA,NA,NA,NA,11507,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016-04-01,"Tucson",NA,1020,NA,0,NA,NA,NA,NA,NA,NA,500,4321,NA,500,NA,NA,NA,671,15875,NA
2016-05-01,"Phoenix",0,3286,0,11639,0,1584,3714,0,1542,15138,NA,2467,74,0,0,500,94,1767,NA,NA
2016-05-01,"Pinal",NA,1260,2500,0,NA,NA,NA,NA,NA,12703,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016-05-01,"Tucson",NA,1020,NA,0,NA,NA,NA,NA,NA,NA,953,2715,NA,500,NA,NA,NA,757,17373,NA
2016-06-01,"Phoenix",0,5117,0,10142,0,1513,4862,500,0,12189,NA,5345,17,0,0,500,94,3297,NA,NA
2016-06-01,"Pinal",NA,2891,0,0,NA,NA,NA,NA,NA,8379,NA,3648,NA,NA,NA,NA,NA,NA,NA,NA
2016-06-01,"Tucson",NA,1020,NA,0,NA,NA,NA,NA,NA,NA,1355,1773,NA,500,NA,NA,NA,485,16054,NA
2016-07-01,"Phoenix",0,7782,0,4012,0,1706,3307,1500,0,12884,NA,5280,2500,4950,0,0,0,3054,NA,NA
2016-07-01,"Pinal",NA,3969,0,0,NA,NA,NA,NA,NA,11980,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-01,"Tucson",NA,2097,NA,0,NA,NA,NA,NA,NA,NA,1444,2520,NA,500,NA,NA,NA,545,16676,NA
2016-08-01,"Phoenix",0,3449,0,5805,0,1037,1372,500,0,9426,NA,3475,2850,6430,0,0,94,2045,NA,NA
2016-08-01,"Pinal",NA,310,0,0,NA,NA,NA,NA,NA,6340,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-01,"Tucson",NA,1891,NA,43,NA,NA,NA,NA,NA,NA,858,1103,NA,550,NA,NA,NA,834,15683,NA
2016-09-01,"Phoenix",0,3655,529,1809,500,1741,140,0,0,16375,NA,3771,2900,1030,0,125,0,1921,NA,NA
2016-09-01,"Pinal",NA,1657,0,160,NA,NA,NA,NA,NA,5355,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-01,"Tucson",NA,624,NA,592,NA,NA,NA,NA,NA,NA,369,3310,NA,600,NA,NA,NA,746,15358,NA
2016-10-01,"Phoenix",0,3140,1071,647,637,1178,140,0,0,6000,NA,3792,0,1030,2200,0,0,1492,NA,NA
2016-10-01,"Pinal",NA,2870,0,0,NA,NA,NA,NA,NA,5651,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016-10-01,"Tucson",NA,1649,NA,0,NA,NA,NA,NA,NA,NA,0,165,NA,250,NA,NA,NA,402,4950,NA
2016-11-01,"Phoenix",0,2172,0,498,148,0,359,0,0,3405,NA,1208,0,1030,0,4817,0,0,NA,NA
2016-11-01,"Pinal",NA,1573,1000,0,NA,NA,NA,NA,NA,1692,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016-11-01,"Tucson",NA,894,NA,2191,NA,NA,NA,NA,NA,NA,0,226,NA,250,NA,NA,NA,477,5269,NA
2016-12-01,"Phoenix",1000,710,0,1037,0,0,0,0,0,5701,NA,1,430,1030,0,183,0,1901,NA,NA
2016-12-01,"Pinal",NA,0,0,0,NA,NA,NA,NA,NA,5174,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-01,"Tucson",NA,429,NA,0,NA,NA,NA,NA,NA,NA,186,353,NA,350,NA,NA,NA,703,12002,NA
2017-01-01,"Phoenix",0,0,0,22,0,0,0,0,0,0,NA,232,0,1611,115,0,82,374,NA,0
2017-01-01,"Tucson",0,0,NA,0,NA,NA,NA,NA,NA,NA,259,826,NA,3820,NA,NA,NA,777,9080,NA
2017-01-01,"Pinal",NA,300,0,NA,NA,NA,NA,NA,NA,306,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
