"User","Partner","Agreement","Year","Group","Data","Variable","deliveries"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Delivered","11"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Scheduled","0"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Remaining","-11"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Delivered","280689"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Scheduled","281186"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Remaining","497"
"Federal Off-Res",NA,NA,2016,"Summary","Delivery","Delivered","367430"
"Federal Off-Res",NA,NA,2016,"Summary","Delivery","Scheduled","367530"
"Federal Off-Res",NA,NA,2016,"Summary","Delivery","Remaining","-12498"
"Federal On-Res",NA,NA,2016,"Summary","Delivery","Delivered","150113"
"Federal On-Res",NA,NA,2016,"Summary","Delivery","Scheduled","153970"
"Federal On-Res",NA,NA,2016,"Summary","Delivery","Remaining","3857"
"M&I Subcontract",NA,NA,2016,"Summary","Delivery","Delivered","504203"
"M&I Subcontract",NA,NA,2016,"Summary","Delivery","Scheduled","510618"
"M&I Subcontract",NA,NA,2016,"Summary","Delivery","Remaining","6415"
"Excess - Other Excess",NA,NA,2016,"Summary","Delivery","Delivered","115866"
"Excess - Other Excess",NA,NA,2016,"Summary","Delivery","Scheduled","115016"
"Excess - Other Excess",NA,NA,2016,"Summary","Delivery","Remaining","-850"
"Total",NA,NA,2016,"Summary","Delivery","Delivered","1418312"
"Total",NA,NA,2016,"Summary","Delivery","Scheduled","1428320"
"Total",NA,NA,2016,"Summary","Delivery","Remaining","-2590"
"AWBA Phx AMA",NA,NA,2016,"Excess - Other Excess","Delivery","Delivered","34044"
"AWBA Phx AMA",NA,NA,2016,"Excess - Other Excess","Delivery","Scheduled","33988"
"AWBA Phx AMA",NA,NA,2016,"Excess - Other Excess","Delivery","Remaining","-56"
"AWBA Pinal AMA",NA,NA,2016,"Excess - Other Excess","Delivery","Delivered","17520"
"AWBA Pinal AMA",NA,NA,2016,"Excess - Other Excess","Delivery","Scheduled","17520"
"AWBA Pinal AMA",NA,NA,2016,"Excess - Other Excess","Delivery","Remaining","0"
"AWBA Tucson AMA",NA,NA,2016,"Excess - Other Excess","Delivery","Delivered","14200"
"AWBA Tucson AMA",NA,NA,2016,"Excess - Other Excess","Delivery","Scheduled","14200"
"AWBA Tucson AMA",NA,NA,2016,"Excess - Other Excess","Delivery","Remaining","0"
"CAGRD",NA,NA,2016,"Excess - Other Excess","Delivery","Delivered","35276"
"CAGRD",NA,NA,2016,"Excess - Other Excess","Delivery","Scheduled","35280"
"CAGRD",NA,NA,2016,"Excess - Other Excess","Delivery","Remaining","4"
"CAGRD",NA,NA,2016,"Excess - Other Excess","Delivery","Delivered","8599"
"CAGRD",NA,NA,2016,"Excess - Other Excess","Delivery","Scheduled","8599"
"CAGRD",NA,NA,2016,"Excess - Other Excess","Delivery","Remaining","0"
"RWCD",NA,NA,2016,"Excess - Other Excess","Delivery","Delivered","41"
"RWCD",NA,NA,2016,"Excess - Other Excess","Delivery","Scheduled","0"
"RWCD",NA,NA,2016,"Excess - Other Excess","Delivery","Remaining","-41"
"Temporary Uses",NA,NA,2016,"Excess - Other Excess","Delivery","Delivered","577"
"Temporary Uses",NA,NA,2016,"Excess - Other Excess","Delivery","Scheduled","410"
"Temporary Uses",NA,NA,2016,"Excess - Other Excess","Delivery","Remaining","-167"
"Tucson",NA,NA,2016,"Excess - Other Excess","Delivery","Delivered","609"
"Tucson",NA,NA,2016,"Excess - Other Excess","Delivery","Scheduled","19"
"Tucson",NA,NA,2016,"Excess - Other Excess","Delivery","Remaining","-590"
"USBR",NA,NA,2016,"Excess - Other Excess","Delivery","Delivered","5000"
"USBR",NA,NA,2016,"Excess - Other Excess","Delivery","Scheduled","5000"
"USBR",NA,NA,2016,"Excess - Other Excess","Delivery","Remaining","0"
"Total",NA,NA,2016,"Excess - Other Excess","Delivery","Delivered","115866"
"Total",NA,NA,2016,"Excess - Other Excess","Delivery","Scheduled","115016"
"Total",NA,NA,2016,"Excess - Other Excess","Delivery","Remaining","-850"
"CAIDD",NA,NA,2016,"Excess - Ag Pool","Delivery","Delivered","94069"
"CAIDD",NA,NA,2016,"Excess - Ag Pool","Delivery","Scheduled","94069"
"CAIDD",NA,NA,2016,"Excess - Ag Pool","Delivery","Remaining","0"
"HIDD",NA,NA,2016,"Excess - Ag Pool","Delivery","Delivered","37551"
"HIDD",NA,NA,2016,"Excess - Ag Pool","Delivery","Scheduled","37551"
"HIDD",NA,NA,2016,"Excess - Ag Pool","Delivery","Remaining","0"
"HVID",NA,NA,2016,"Excess - Ag Pool","Delivery","Delivered","34282"
"HVID",NA,NA,2016,"Excess - Ag Pool","Delivery","Scheduled","34503"
"HVID",NA,NA,2016,"Excess - Ag Pool","Delivery","Remaining","221"
"MSIDD",NA,NA,2016,"Excess - Ag Pool","Delivery","Delivered","100949"
"MSIDD",NA,NA,2016,"Excess - Ag Pool","Delivery","Scheduled","101260"
"MSIDD",NA,NA,2016,"Excess - Ag Pool","Delivery","Remaining","311"
"QCID",NA,NA,2016,"Excess - Ag Pool","Delivery","Delivered","4542"
"QCID",NA,NA,2016,"Excess - Ag Pool","Delivery","Scheduled","4542"
"QCID",NA,NA,2016,"Excess - Ag Pool","Delivery","Remaining","0"
"SCIDD",NA,NA,2016,"Excess - Ag Pool","Delivery","Delivered","7035"
"SCIDD",NA,NA,2016,"Excess - Ag Pool","Delivery","Scheduled","7000"
"SCIDD",NA,NA,2016,"Excess - Ag Pool","Delivery","Remaining","-35"
