"","Variable","Jan","Feb","Mar","Q1","Apr","May","Jun","Q2","Jul","Aug","Sep","Q3","Oct","Nov","Dec","Q4","Total","Physical Turnout","Group","Subgroup","Name","Section","Year"
"1","TOTAL CUSTOMER DELIVERIES","64252","66697","139065","270014","171027","154487","181099","506613","167843","192047","142420","502310","103812","71171","66662","241645","1520582",NA,"TOTAL CUSTOMER DELIVERIES",NA,NA,"TOTAL CUSTOMER DELIVERIES",2008
"2","WATER BANK DELIVERIES ***","7874","9073","12364","29311","8611","8457","10744","27812","11770","50702","34758","97230","19009","16442","27186","62637","216990",NA,"WATER BANK DELIVERIES ***",NA,NA,"TOTAL CUSTOMER DELIVERIES",2008
"3","TOTAL CANAL LOSSES","739","1283","2185","4207","2959","3425","3464","9848","3382","2663","2559","8604","2343","1892","1423","5658","28317",NA,"TOTAL CANAL LOSSES",NA,NA,"TOTAL CUSTOMER DELIVERIES",2008
"4","MWD LAKE STORAGE THRU T/O","0","1067","3472","4539","3894","4164","3434","11492","2383","3252","3642","9277","4947","4047","511","9505","34813",NA,"MWD LAKE STORAGE THRU T/O",NA,NA,"TOTAL CUSTOMER DELIVERIES",2008
"5","SRP/CAP EXCHANGE WATER","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"SRP/CAP EXCHANGE WATER",NA,NA,"TOTAL CUSTOMER DELIVERIES",2008
"6","SALT RIVER PROJECT/XS ($6/AF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"SALT RIVER PROJECT/XS ($6/AF)",NA,NA,"TOTAL CUSTOMER DELIVERIES",2008
"7","WADDELL PUMPING","99649","88679","23780","212108","0","18160","769","18929","0","0","0","0","25846","91045","20663","137554","368591",NA,"WADDELL PUMPING",NA,NA,"TOTAL CUSTOMER DELIVERIES",2008
"8","WADDELL RELEASES","0","0","-81","-81","-11920","-8248","-60264","-80432","-92679","-129383","-54211","-276273","-1553","0","-22642","-24195","-380981",NA,"WADDELL RELEASES",NA,NA,"TOTAL CUSTOMER DELIVERIES",2008
"9","COLORADO RIVER DIVERSIONS","164640","157726","168421","490787","165960","171988","128502","466450","80929","68579","94410","243918","135395","168155","66617","370167","1571322","Forbearance of 25kaf as Recovery for MWD","COLORADO RIVER DIVERSIONS",NA,NA,"TOTAL CUSTOMER DELIVERIES",2008
"10","COLORADO RIVER ACTUAL","166725","157301","167973","491999","165730","172183","126311","464224","78041","65373","93513","236927","135834","167966","64769","368569","1561719",NA,"COLORADO RIVER ACTUAL",NA,NA,"TOTAL CUSTOMER DELIVERIES",2008
"11","TOTAL CUSTOMER DELIVERIES","75118","74798","130852","280768","152838","168705","181604","503147","193066","201282","134258","528606","117993","57939","94280","270212","1582733",NA,"TOTAL CUSTOMER DELIVERIES",NA,NA,"TOTAL CUSTOMER DELIVERIES",2009
