"Year","Month","Product","Use","variable","value"
2022,"JAN","Monthly","Buy","MWH","143600"
2022,"JAN","Day Ahead","Buy","MWH","32268"
2022,"JAN","Day Ahead","Sell","MWH","51001"
2022,"FEB","Monthly","Buy","MWH","128000"
2022,"FEB","Day Ahead","Buy","MWH","46781"
2022,"FEB","Day Ahead","Sell","MWH","32413"
2022,"MAR","Monthly","Buy","MWH","141200"
2022,"MAR","Day Ahead","Buy","MWH","81920"
2022,"MAR","Day Ahead","Sell","MWH","22426"
2022,"APR","Monthly","Buy","MWH","61600"
2022,"APR","Day Ahead","Buy","MWH","145226"
2022,"APR","Day Ahead","Sell","MWH","5136"
2022,"MAY","Monthly","Buy","MWH","64400"
2022,"MAY","Day Ahead","Buy","MWH","161668"
2022,"MAY","Day Ahead","Sell","MWH","4356"
2022,"JUN","Monthly","Buy","MWH","61600"
2022,"JUN","Day Ahead","Buy","MWH","35224"
2022,"JUN","Day Ahead","Sell","MWH","29228"
2022,"JUL","Monthly","Buy","MWH","41840"
2022,"JUL","Day Ahead","Buy","MWH","4752"
2022,"JUL","Day Ahead","Sell","MWH","26195"
2022,"AUG","Monthly","Buy","MWH","38640"
2022,"AUG","Day Ahead","Buy","MWH","3492"
2022,"AUG","Day Ahead","Sell","MWH","24442"
2022,"SEP","Monthly","Buy","MWH","39200"
2022,"SEP","Day Ahead","Buy","MWH","79620"
2022,"SEP","Day Ahead","Sell","MWH","9020"
2022,"OCT","Monthly","Buy","MWH","115040"
2022,"OCT","Day Ahead","Buy","MWH","34660"
2022,"OCT","Day Ahead","Sell","MWH","63057"
2022,"NOV","Monthly","Buy","MWH","111600"
2022,"NOV","Day Ahead","Buy","MWH","28170"
2022,"NOV","Day Ahead","Sell","MWH","74220"
2022,"DEC","Monthly","Buy","MWH","115040"
2022,"DEC","Day Ahead","Buy","MWH","24190"
2022,"DEC","Day Ahead","Sell","MWH","77137"
2022,"TOTAL","Monthly","Buy","MWH","1061760"
2022,"TOTAL","Day Ahead","Buy","MWH","677971"
2022,"TOTAL","Day Ahead","Sell","MWH","418631"
2022,"JAN","Monthly","Buy","Unit Price ($/MWH)","29.577674094707522"
2022,"JAN","Day Ahead","Buy","Unit Price ($/MWH)","40"
2022,"JAN","Day Ahead","Sell","Unit Price ($/MWH)","60"
2022,"FEB","Monthly","Buy","Unit Price ($/MWH)","29.651937499999999"
2022,"FEB","Day Ahead","Buy","Unit Price ($/MWH)","40"
2022,"FEB","Day Ahead","Sell","Unit Price ($/MWH)","55"
2022,"MAR","Monthly","Buy","Unit Price ($/MWH)","29.672535410764873"
2022,"MAR","Day Ahead","Buy","Unit Price ($/MWH)","35"
2022,"MAR","Day Ahead","Sell","Unit Price ($/MWH)","50"
2022,"APR","Monthly","Buy","Unit Price ($/MWH)","23.402987012987012"
2022,"APR","Day Ahead","Buy","Unit Price ($/MWH)","35"
2022,"APR","Day Ahead","Sell","Unit Price ($/MWH)","45"
2022,"MAY","Monthly","Buy","Unit Price ($/MWH)","23.259068322981367"
2022,"MAY","Day Ahead","Buy","Unit Price ($/MWH)","35"
2022,"MAY","Day Ahead","Sell","Unit Price ($/MWH)","45"
2022,"JUN","Monthly","Buy","Unit Price ($/MWH)","23.402987012987012"
2022,"JUN","Day Ahead","Buy","Unit Price ($/MWH)","50"
2022,"JUN","Day Ahead","Sell","Unit Price ($/MWH)","137.36143424113862"
2022,"JUL","Monthly","Buy","Unit Price ($/MWH)","36.351854684512432"
2022,"JUL","Day Ahead","Buy","Unit Price ($/MWH)","70"
2022,"JUL","Day Ahead","Sell","Unit Price ($/MWH)","220.99637335369346"
2022,"AUG","Monthly","Buy","Unit Price ($/MWH)","36.802111801242241"
2022,"AUG","Day Ahead","Buy","Unit Price ($/MWH)","70"
2022,"AUG","Day Ahead","Sell","Unit Price ($/MWH)","224.3024302430243"
2022,"SEP","Monthly","Buy","Unit Price ($/MWH)","36.530816326530612"
2022,"SEP","Day Ahead","Buy","Unit Price ($/MWH)","70"
2022,"SEP","Day Ahead","Sell","Unit Price ($/MWH)","216.4079822616408"
2022,"OCT","Monthly","Buy","Unit Price ($/MWH)","26.796540333796941"
2022,"OCT","Day Ahead","Buy","Unit Price ($/MWH)","40"
2022,"OCT","Day Ahead","Sell","Unit Price ($/MWH)","50"
2022,"NOV","Monthly","Buy","Unit Price ($/MWH)","26.788172043010753"
2022,"NOV","Day Ahead","Buy","Unit Price ($/MWH)","40"
2022,"NOV","Day Ahead","Sell","Unit Price ($/MWH)","50"
