"AMA","Recharge Facility","Water User","Year","Group","Data","Month","deliveries"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Mar","375"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Apr","0"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","May","0"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Jun","0"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Jul","0"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Aug","0"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Sep","0"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Mar","0"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Apr","1000"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","May","1000"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Jun","1000"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Jul","0"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Aug","0"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Sep","0"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Mar","0"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Apr","0"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","May","63"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Jun","63"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Jul","62"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Aug","158"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Sep","154"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Mar","357"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Apr","0"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","May","0"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Jun","0"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Jul","500"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Aug","300"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Sep","0"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Mar","0"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Apr","524"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","May","156"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Jun","146"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Jul","173"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Aug","1"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Sep","0"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Mar","0"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Apr","488"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","May","471"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Jun","451"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Jul","506"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Aug","342"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Sep","790"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Oct","183"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Mar","328"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Apr","335"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","May","611"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Jun","585"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Jul","656"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Aug","443"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Sep","703"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Oct","528"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Mar","0"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Apr","358"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","May","346"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Jun","331"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Jul","371"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Aug","251"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Sep","248"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Oct","467"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Mar","0"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Apr","0"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","May","0"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Jun","0"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Jul","500"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Aug","500"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Sep","0"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Mar","0"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Apr","2"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","May","7"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Jun","17"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Jul","0"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Aug","0"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Sep","0"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Mar","500"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Apr","500"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","May","500"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Jun","500"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Jul","0"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Aug","0"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Sep","0"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Mar","1560"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Apr","3207"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","May","3154"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Jun","3093"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Jul","2768"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Aug","1995"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Sep","1895"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Oct","1178"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Mar","0"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Apr","0"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","May","3000"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Jun","3000"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Jul","0"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Aug","3000"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Sep","0"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Jan","0"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Feb","0"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Mar","0"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Apr","2144"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","May","2385"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Jun","1471"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Jul","0"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Aug","0"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Sep","0"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Oct","0"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Nov","0"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Dec","0"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Jan","473"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Feb","3000"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Mar","4500"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Apr","1166"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","May","3820"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Jun","3046"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Jul","6382"
