"AMA","Recharge Facility","Water User","Year","Group","Data","Variable","deliveries"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Delivered","375"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Scheduled","375"
"Phoenix","MWD","AZWC, White Tank",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Delivered","3000"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Scheduled","3000"
"Phoenix","MWD","CAGRD",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Delivered","500"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Scheduled","500"
"Phoenix","MWD","Chaparral City WC",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Delivered","1157"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Scheduled","1157"
"Phoenix","MWD","Del Webb/Pulte",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Delivered","1000"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Scheduled","1000"
"Phoenix","MWD","EPCOR, AF",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Delivered","3231"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Scheduled","3231"
"Phoenix","MWD","EPCOR, PV",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Delivered","4189"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Scheduled","4189"
"Phoenix","MWD","EPCOR, SC",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Delivered","2372"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Scheduled","2372"
"Phoenix","MWD","EPCOR, SCW",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Delivered","1000"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Scheduled","1000"
"Phoenix","MWD","Glendale",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Delivered","26"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Scheduled","0"
"Phoenix","MWD","Peoria",2016,"GSF Deliveries","Recharge","Remaining","-26"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Delivered","2000"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Scheduled","2000"
"Phoenix","MWD","Surprise",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Delivered","18850"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Scheduled","18824"
"Phoenix","MWD","Total",2016,"GSF Deliveries","Recharge","Remaining","-26"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Delivered","9000"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Scheduled","9000"
"Phoenix","NMIDD","CAGRD",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Delivered","6000"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Scheduled","6000"
"Phoenix","NMIDD","Gilbert",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Delivered","34870"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Scheduled","35000"
"Phoenix","NMIDD","GRIC",2016,"GSF Deliveries","Recharge","Remaining","130"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Delivered","5000"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Scheduled","5000"
"Phoenix","NMIDD","Surprise",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Delivered","25000"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Scheduled","25000"
"Phoenix","NMIDD","Tohono O'odham - SX",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Delivered","79870"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Scheduled","80000"
"Phoenix","NMIDD","Total",2016,"GSF Deliveries","Recharge","Remaining","130"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Delivered","6089"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Scheduled","5230"
"Phoenix","QCID","AWBA Phx AMA",2016,"GSF Deliveries","Recharge","Remaining","-859"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Delivered","4000"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Scheduled","4000"
"Phoenix","QCID","CAGRD",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Delivered","13140"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Scheduled","13000"
"Phoenix","QCID","Gilbert",2016,"GSF Deliveries","Recharge","Remaining","-140"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Delivered","23229"
"Phoenix","QCID","Total",2016,"GSF Deliveries","Recharge","Scheduled","22230"
