"Partner","datetime","Ak-Chin","ASARCO","AWBA","AZ State Land","AZWC","CAGRD","CAIDD","Chandler","EPCOR","FMYN","Gilbert","Glendale","Goodyear","GRIC","HIDD","HVID","Mesa","MSIDD","MWD","Oro Valley","OTHER","Peoria","Phoenix","SCAT","Scottsdale","SRPMIC","Surprise","Tempe","Tohono O'odham","Tucson","WMAT"
"GRIC",2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,703,0,0,0,0,0,0,0,898,960,0,0,0,0,0,0,0,0,0
"GRIC",2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1553,0,0,0,0,0,0,0,3154,1734,0,0,0,0,0,0,0,0,0
"GRIC",2016-03-01,0,0,0,0,0,0,0,0,0,0,0,0,1690,0,0,0,0,0,0,0,2770,1130,0,0,0,0,0,0,0,0,0
"GRIC",2016-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1512,0,0,0,0,0,0,0,103,930,0,0,0,0,0,0,0,0,0
"GRIC",2016-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1542,0,0,0,0,0,0,0,110,1109,0,0,5798,0,0,0,0,0,0
"GRIC",2016-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1761,1092,1778,0,5754,0,0,0,0,0,0
"GRIC",2016-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,45,2347,0,448,0,0,0,0,0,0
"GRIC",2016-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1792,0,2473,0,0,0,0,0,0,0,0
"GRIC",2016-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,0,2359,0,0,0,0,0,0,0,0
"GRIC",2016-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,0,0,0,0
"GRIC",2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2334,0,0,0,0,0,0,0,0
"GRIC",2016-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,0,0,0,0,0,0,0,0
