"datetime","Ak-Chin","ASARCO","AWBA","AZ State Land","AZWC","CAGRD","CAIDD","Chandler","EPCOR","FMYN","Gilbert","Glendale","Goodyear","GRIC","HIDD","HVID","Mesa","MSIDD","MWD","Oro Valley","OTHER","Peoria","Phoenix","SCAT","Scottsdale","SRPMIC","Surprise","Tempe","Tohono O'odham","Tucson","WMAT"
2016-01-01,0,0,0,0,0,887,0,1500,0,0,1000,0,703,473,0,0,0,0,0,0,798,529,0,0,1000,0,0,94,0,0,0
2016-02-01,0,0,500,0,0,1931,0,1000,0,0,0,0,1553,3000,0,0,0,0,0,0,4052,887,0,0,2344,0,0,94,1129,0,0
2016-03-01,0,0,1000,0,375,2504,0,2300,328,0,1275,500,2000,9230,0,0,0,0,0,0,4007,826,0,0,6528,0,1878,94,4138,0,0
2016-04-01,0,0,3233,0,0,6043,0,0,1705,0,5170,0,3202,7438,0,0,0,0,0,0,1512,2,0,0,0,0,2246,94,4256,0,0
2016-05-01,0,0,3286,0,0,11639,0,0,1584,0,3714,0,1542,15138,0,0,0,0,0,0,2467,74,0,0,0,0,500,94,1767,0,0
2016-06-01,0,0,5117,0,0,10142,0,0,1513,0,4862,500,0,12189,0,0,0,0,0,0,5345,17,0,0,0,0,500,94,3297,0,0
2016-07-01,0,0,7782,0,0,4012,0,0,1706,0,3307,1500,0,12884,0,0,0,0,0,0,5280,2500,4950,0,0,0,0,0,3054,0,0
2016-08-01,0,0,3449,0,0,5805,0,0,1037,0,1372,500,0,9426,0,0,0,0,0,0,3475,2850,6430,0,0,0,0,94,2045,0,0
2016-09-01,0,0,3655,0,529,1809,0,500,1741,0,140,0,0,16375,0,0,0,0,0,0,3771,2900,1030,0,0,0,125,0,1921,0,0
2016-10-01,0,0,3140,0,1071,647,0,637,1178,0,140,0,0,6000,0,0,0,0,0,0,3792,0,1030,0,2200,0,0,0,1492,0,0
2016-11-01,0,0,2172,0,0,498,0,148,0,0,359,0,0,3405,0,0,0,0,0,0,1208,0,1030,0,0,0,4817,0,0,0,0
2016-12-01,1000,0,710,0,0,1037,0,0,0,0,0,0,0,5701,0,0,0,0,0,0,1,430,1030,0,0,0,183,0,1901,0,0
2017-01-01,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,1611,0,115,0,0,82,374,0,0
2017-02-01,0,0,0,0,0,906,0,500,0,0,0,0,238,0,0,0,0,0,0,0,2168,826,0,0,39,0,754,0,1015,0,0
2017-03-01,0,0,0,0,0,2937,0,600,0,0,2678,0,2032,2200,0,0,0,0,0,0,5589,1385,0,0,1915,0,300,0,2166,0,0
2017-04-01,0,0,0,0,2900,3490,0,2137,1312,0,5870,0,3731,1500,0,0,0,0,0,0,6612,513,855,0,2695,0,1954,0,3571,0,0
2017-05-01,0,1457,0,0,0,8612,0,500,1508,0,3025,300,2743,1430,0,0,0,0,0,0,3953,939,2190,0,4064,0,1877,225,1375,0,0
2017-06-01,0,5998,0,0,0,5839,0,1490,1443,0,7351,1194,0,8306,0,0,0,0,0,0,2196,2725,3075,0,5215,0,1000,225,2000,0,0
2017-07-01,1000,3196,0,0,0,3478,0,750,1619,0,8080,1751,0,7462,0,0,0,0,0,0,2596,3098,3041,0,2963,0,1479,230,2167,0,0
2017-08-01,1000,4330,0,0,0,914,0,850,1261,0,13516,794,0,9913,0,0,0,0,0,0,1313,0,5826,0,183,0,2385,131,3000,0,0
2017-09-01,0,6019,850,0,0,715,0,1513,1735,0,3455,531,0,9829,0,0,0,0,0,0,2927,923,1581,0,202,0,0,144,3867,0,0
2017-10-01,0,0,1765,0,0,81,0,697,914,0,2068,206,0,2662,0,0,0,0,0,0,3032,954,239,0,0,0,500,22,3063,0,0
2017-11-01,249,0,1209,0,0,2804,0,703,0,0,0,300,0,1634,0,0,0,0,0,0,928,0,296,0,0,0,0,0,2115,0,0
2017-12-01,557,0,306,0,0,2398,0,0,0,0,458,0,0,3298,0,0,0,0,0,0,0,0,611,0,0,0,0,0,1732,0,0
2018-01-01,0,0,1335,0,0,280,0,0,0,0,0,28,0,317,0,0,0,0,0,0,1361,2434,0,0,0,0,417,0,317,0,0
2018-02-01,0,0,1444,0,0,4068,0,0,0,0,768,572,0,706,0,0,0,0,0,0,1937,1042,464,0,1550,0,1500,0,707,0,0
2018-03-01,999,0,1000,0,0,4530,0,1000,0,0,5436,0,0,1000,0,0,0,0,0,0,5863,816,605,0,1030,0,2583,0,1000,0,0
2018-04-01,296,0,2616,0,0,6207,0,2200,0,0,4204,0,0,3902,0,0,0,0,0,0,6815,1238,1881,0,2491,0,1117,117,2000,0,0
2018-05-01,90,0,1717,0,3200,2210,0,0,0,0,5522,0,0,3534,0,0,0,0,0,0,4254,2227,1795,0,1032,0,967,117,4000,0,0
2018-06-01,4910,1146,0,0,625,2084,0,500,0,0,8665,0,0,9715,0,0,0,0,0,0,1464,3053,2651,0,164,0,1167,117,2000,0,0
2018-07-01,0,6306,0,0,0,1897,0,1171,0,0,4606,255,0,12970,0,0,0,0,0,0,6557,1767,2934,0,164,0,417,118,3988,0,0
2018-08-01,0,5574,1632,0,0,11549,0,400,0,0,0,477,0,9726,0,0,0,0,0,0,777,3923,3348,0,164,0,0,118,0,0,0
2018-09-01,0,5555,8343,0,0,3220,0,1100,0,0,0,400,0,9192,0,0,0,0,0,0,641,409,2851,0,4306,0,2081,118,957,0,0
2018-10-01,673,1867,7920,0,0,1603,0,300,0,0,0,300,0,7741,0,0,0,0,0,0,825,0,2843,0,0,0,0,0,2593,0,0
2018-11-01,3307,552,1930,0,0,869,0,0,0,0,971,0,0,3017,0,0,0,0,0,0,0,0,1774,0,0,0,0,0,5610,0,0
2018-12-01,0,0,663,0,0,884,0,0,0,0,29,0,0,871,0,0,0,0,0,0,0,425,1910,0,0,0,0,0,4275,0,0
2019-01-01,0,0,0,0,0,361,0,0,0,0,262,0,0,518,0,0,0,0,0,0,1299,0,864,0,99,0,224,0,110,0,0
2019-02-01,0,0,0,0,0,48,0,0,0,0,249,0,0,4264,0,0,0,0,0,0,1350,1408,1045,0,99,0,224,0,210,0,0
2019-03-01,0,0,0,0,0,1113,0,300,0,0,350,0,0,8109,0,0,0,0,0,0,2377,2609,2958,0,138,0,224,0,600,0,0
2019-04-01,0,0,0,0,0,1707,0,2014,0,0,325,0,0,3443,0,0,0,0,0,0,6544,2513,2969,0,4697,0,1224,0,2926,0,0
2019-05-01,0,0,0,0,0,5091,0,1500,0,0,706,500,0,1653,0,0,0,0,0,0,7434,2422,8230,0,138,0,1224,0,928,0,0
2019-06-01,0,0,0,0,750,5786,0,4205,0,0,458,300,0,3793,0,0,0,0,0,0,14280,3225,1855,0,138,0,1729,0,3069,0,0
2019-07-01,2056,0,0,0,0,2721,0,1920,0,0,866,832,0,3796,0,0,0,0,0,0,9117,5406,1000,0,1692,0,1227,0,4960,0,0
2019-08-01,4965,0,0,0,1008,1233,0,1275,0,0,1002,0,0,9786,0,0,0,0,0,0,2153,903,2909,0,572,0,1025,0,6489,0,0
2019-09-01,979,0,0,0,1712,1508,0,1202,0,0,2075,700,0,8420,0,0,0,0,0,0,614,219,2560,0,2142,0,1124,0,3114,0,0
2019-10-01,0,0,0,0,480,1375,0,0,0,0,500,200,0,3369,0,0,0,0,0,0,1013,512,2193,0,2494,0,1124,0,4275,0,0
2019-11-01,0,0,0,0,0,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,900,0,5041,0,0
2019-12-01,0,0,0,0,0,2212,0,0,0,0,140,0,0,928,0,0,0,0,0,0,0,554,1352,0,0,0,0,0,7469,0,0
2020-01-01,0,0,0,0,0,793,0,0,0,0,0,0,4493,5006,0,0,0,0,0,0,1000,1191,0,0,0,0,300,0,81,0,0
2020-02-01,0,0,0,0,0,670,0,2900,0,0,600,0,3672,2656,0,0,0,0,0,0,2347,892,213,0,500,0,300,0,504,0,0
2020-03-01,0,0,0,0,0,1785,0,0,322,0,0,0,5526,5561,0,0,0,0,0,0,3687,659,1381,0,1000,0,443,0,1013,0,0
2020-04-01,0,658,0,0,0,1418,0,400,1287,0,1000,0,351,3952,0,0,0,0,0,0,5463,3684,632,0,0,0,2046,0,5876,0,0
2020-05-01,0,4865,0,0,0,4499,0,1000,1818,0,1000,362,0,4345,0,0,0,0,0,0,9339,1272,507,0,0,0,2469,0,3524,0,0
2020-06-01,0,6351,0,0,718,4532,0,1862,1245,0,3066,0,0,4480,0,0,0,0,0,0,10489,839,1458,0,0,0,941,0,4916,0,0
2020-07-01,3500,2626,0,0,99,5389,0,2500,1211,0,3215,0,1323,4946,0,0,0,0,0,0,6066,2440,2491,0,1778,0,1100,0,5162,0,0
2020-08-01,4000,6306,7028,0,1844,4566,0,1800,1240,0,4349,0,1343,1000,0,0,0,0,0,0,4097,1821,3379,0,1441,0,700,0,5392,0,0
2020-09-01,0,194,8000,0,0,7232,0,0,924,0,500,532,1034,0,0,0,0,0,0,0,5358,2028,3452,0,2464,0,1050,0,3554,0,0
2020-10-01,0,0,8436,0,0,4641,0,0,212,0,0,0,0,2400,0,0,0,0,0,0,1832,1801,1512,0,1037,0,450,0,2501,0,0
2020-11-01,0,0,7077,0,50,490,0,0,212,0,0,0,0,986,0,0,0,0,0,0,2241,1904,872,0,0,0,450,0,1130,0,0
2020-12-01,1695,0,5302,0,0,0,0,0,0,0,0,200,0,14,0,0,0,0,0,0,408,1324,596,0,0,0,0,0,1477,0,0
2021-01-01,0,0,0,0,1600,1702,0,1233,0,0,0,0,0,1500,0,0,0,0,0,0,700,520,104,0,0,0,0,0,1034,0,0
2021-02-01,0,0,0,0,0,1039,0,2067,0,0,300,0,0,4721,0,0,0,0,0,0,3088,911,1298,0,0,0,0,0,682,0,0
2021-03-01,0,0,0,0,0,2378,0,0,0,0,800,0,1524,8086,0,0,0,0,0,0,4913,2492,4598,0,0,0,0,0,5581,0,0
2021-04-01,0,0,0,0,0,1820,0,0,1272,0,700,0,1365,6620,0,0,0,0,0,0,6083,1810,1591,0,0,0,1000,0,4451,0,0
2021-05-01,0,0,0,0,0,3296,0,1000,1425,0,800,0,2358,5681,0,0,0,0,0,0,8055,2716,1749,0,2243,0,1000,0,5008,0,0
2021-06-01,0,0,0,0,717,3324,0,1200,1214,0,4514,0,2282,2918,0,0,0,0,0,0,6338,2567,1462,0,953,0,1000,0,3101,0,0
2021-07-01,0,0,0,0,0,2979,0,1200,1186,0,2039,0,2358,1179,0,0,0,0,0,0,3174,1900,1439,0,98,0,1000,0,0,0,0
2021-08-01,0,0,0,0,0,1322,0,1000,750,0,0,0,2358,1860,0,0,0,0,0,0,4948,2165,1439,0,98,0,3048,0,1454,0,0
2021-09-01,3145,0,0,0,0,2774,0,600,1007,0,0,500,4497,707,0,0,0,0,0,0,3321,1597,445,0,98,0,1201,29,5604,0,0
2021-10-01,4662,0,0,0,1604,1887,0,0,1762,0,0,0,0,0,0,0,0,0,0,0,884,2254,985,0,98,0,1000,98,4986,0,0
2021-11-01,2779,0,0,0,0,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,1058,2535,0,98,0,1000,100,1940,0,0
2021-12-01,414,0,0,0,0,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397,0,98,0,0,97,3776,0,0
