"datetime","Ak-Chin","ASARCO","AWBA","AZ State Land","AZWC","CAGRD","CAIDD","Chandler","EPCOR","FMYN","Gilbert","Glendale","Goodyear","GRIC","HIDD","HVID","Mesa","MSIDD","MWD","Oro Valley","OTHER","Peoria","Phoenix","SCAT","Scottsdale","SRPMIC","Surprise","Tempe","Tohono O'odham","Tucson","WMAT"
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,0,0,700,0,0,0,0,0,0,0,0,0,0,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,0,0,1090,0,0,0,0,0,0,0,0,0,0,6907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,0,0,1200,0,2500,0,0,0,0,0,0,0,0,11507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-01,0,0,1260,0,2500,0,0,0,0,0,0,0,0,12703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,0,0,2891,0,0,0,0,0,0,0,0,0,0,8379,0,0,0,0,0,0,3648,0,0,0,0,0,0,0,0,0,0
2016-07-01,0,0,3969,0,0,0,0,0,0,0,0,0,0,11980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,0,0,310,0,0,0,0,0,0,0,0,0,0,6340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,0,0,1657,0,0,160,0,0,0,0,0,0,0,5355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,0,0,2870,0,0,0,0,0,0,0,0,0,0,5651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,0,0,1573,0,1000,0,0,0,0,0,0,0,0,1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-01,0,0,0,0,2300,0,0,0,0,0,0,0,0,9783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-01,0,0,0,0,2400,0,0,0,0,0,0,0,0,11149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,9150,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0
2017-07-01,0,0,0,0,2300,0,0,0,0,0,0,0,0,11089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,14530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,16118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,12040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3383,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0
2018-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,8173,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0
2018-05-01,0,0,0,0,2300,0,0,0,0,0,0,0,0,10810,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,0
2018-06-01,0,0,0,0,4550,0,0,0,0,0,0,0,0,22674,0,0,0,0,0,0,6900,0,0,0,0,0,0,0,0,0,0
2018-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,29837,0,0,0,0,0,0,6005,0,0,0,0,0,0,0,0,0,0
2018-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,22528,0,0,0,0,0,0,2573,0,0,0,0,0,0,0,0,0,0
