Elevation_ft,Volume_AF,Area_ACRE
1550,35091,1339
1550.5,35765,1357
1551,36448,1375
1551.5,37140,1393
1552,37841,1411
1552.5,38551,1429
1553,39270,1447
1553.5,39998,1465
1554,40735,1483
1554.5,41481,1501
1555,42236,1519
1555.5,42999,1537
1556,43772,1554
1556.5,44554,1572
1557,45344,1589
1557.5,46143,1607
1558,46951,1625
1558.5,47768,1642
1559,48593,1660
1559.5,49427,1677
1560,50271,1695
1560.5,51124,1717
1561,51988,1740
1561.5,52863,1762
1562,53750,1784
1562.5,54647,1807
1563,55556,1829
1563.5,56476,1851
1564,57407,1873
1564.5,58350,1896
1565,59303,1918
1565.5,60270,1951
1566,61254,1983
1566.5,62254,2016
1567,63270,2049
1567.5,64302,2081
1568,65351,2114
1568.5,66416,2147
1569,67498,2179
1569.5,68596,2212
1570,69710,2245
1570.5,70840,2277
1571,71987,2310
1571.5,73151,2346
1572,74334,2383
1572.5,75534,2420
1573,76753,2456
1573.5,77990,2493
1574,79246,2529
1574.5,80519,2566
1575,81811,2602
1575.5,83118,2624
1576,84436,2647
1576.5,85765,2670
1577,87105,2692
1577.5,88457,2715
1578,89820,2737
1578.5,91194,2760
1579,92579,2782
1579.5,93976,2805
1580,95384,2827
1580.5,96803,2850
1581,98233,2872
1581.5,99675,2895
1582,101280,2917
1582.5,102592,2940
1583,104068,2963
1583.5,105555,2985
1584,107053,3008
1584.5,108563,3030
1585,110084,3053
1585.5,111617,3081
1586,113164,3109
1586.5,114726,3137
1587,116301,3165
1587.5,117890,3192
1588,119494,3220
1588.5,121111,3248
1589,122742,3276
1589.5,124387,3304
1590,126046,3332
1590.5,127722,3373
1591,129419,3413
1591.5,131135,3454
1592,132872,3494
1592.5,134630,3535
1593,136407,3576
1593.5,138205,3616
1594,140024,3657
1594.5,141862,3697
1595,143721,3738
1595.5,145595,3756
1596,147477,3775
1596.5,149369,3793
1597,151271,3812
1597.5,153181,3830
1598,155101,3848
1598.5,157029,3867
1599,158967,3885
1599.5,160915,3904
1600,162871,3922
1600.5,164838,3947
1601,166818,3973
1601.5,168811,3998
1602,170816,4023
1602.5,172834,4049
1603,174865,4074
1603.5,176908,4099
1604,178964,4124
1604.5,181032,4150
1605,183114,4175
1605.5,185208,4205
1606,187318,4235
1606.5,189443,4265
1607,191583,4295
1607.5,193738,4325
1608,195908,4354
1608.5,198092,4384
1609,200292,4414
1609.5,202506,4444
1610,204736,4474
1610.5,206978,4496
1611,209232,4517
1611.5,211495,4539
1612,213770,4560
1612.5,216055,4582
1613,218532,4603
1613.5,220658,4625
1614,222976,4646
1614.5,225304,4668
1615,227644,4689
1615.5,229996,4720
1616,232364,4751
1616.5,234747,4783
1617,237146,4814
1617.5,239561,4845
1618,241991,4876
1618.5,244437,4907
1619,246899,4939
1619.5,249376,4970
1620,251869,5001
1620.5,254376,5030
1621,256899,5059
1621.5,259435,5088
1622,261987,5117
1622.5,264553,5147
1623,267133,5176
1623.5,269728,5205
1624,272338,5234
1624.5,274962,5263
1625,277601,5292
1625.5,280254,5318
1626,282919,5344
1626.5,285598,5370
1627,288289,5396
1627.5,290994,5423
1628,293712,5449
1628.5,296443,5475
1629,299187,5501
1629.5,301944,5527
1630,304714,5553
1630.5,307499,5590
1631,310303,5626
1631.5,313125,5663
1632,315966,5699
1632.5,318825,5736
1633,321702,5773
1633.5,324597,5809
1634,327511,5846
1634.5,330443,5882
1635,333394,5919
1635.5,336357,5933
1636,339327,5947
1636.5,342304,5962
1637,345288,5976
1637.5,348280,5990
1638,351278,6004
1638.5,354284,6018
1639,357297,6033
1639.5,360317,6047
1640,363344,6061
1640.5,366380,6087
1641,369430,6113
1641.5,372493,6139
1642,375569,6165
1642.5,378658,6190
1643,381760,6216
1643.5,384874,6242
1644,388002,6268
1644.5,391142,6294
1645,394296,6320
1645.5,397463,6346
1646,400642,6372
1646.5,403835,6399
1647,407041,6425
1647.5,410260,6451
1648,413492,6477
1648.5,416737,6503
1649,419995,6530
1649.5,423267,6556
1650,426551,6582
1650.5,429849,6609
1651,433160,6636
1651.5,436484,6662
1652,439822,6689
1652.5,443174,6716
1653,446538,6743
1653.5,449916,6770
1654,453308,6796
1654.5,456713,6823
1655,460131,6850
1655.5,463564,6880
1656,467011,6910
1656.5,470474,6940
1657,473951,6970
1657.5,477444,7000
1658,480951,7030
1658.5,484474,7060
1659,488011,7090
1659.5,491564,7120
1660,495131,7150
1660.5,498713,7177
1661,502308,7205
1661.5,505917,7232
1662,509540,7259
1662.5,513177,7287
1663,516827,7314
1663.5,520490,7341
1664,524168,7368
1664.5,527859,7396
1665,531564,7423
1665.5,535282,7452
1666,539016,7481
1666.5,542764,7511
1667,546526,7540
1667.5,550304,7511
1668,554095,7598
1668.5,557902,7627
1669,561723,7657
1669.5,565558,7686
1670,569409,7715
1670.5,573273,7744
1671,577152,7772
1671.5,581045,7801
1672,584953,7829
1672.5,588874,7858
1673,592810,7886
1673.5,596760,7915
1674,600725,7943
1674.5,604703,7972
1675,608696,8000
1675.5,612704,8031
1676,616727,8061
1676.5,620765,8092
1677,624818,8122
1677.5,628887,8153
1678,632971,8183
1678.5,637070,8214
1679,641184,8244
1679.5,645314,8275
1680,649459,8305
1680.5,653620,8339
1681,657797,8373
1681.5,661992,8407
1682,666204,8441
1682.5,670433,8475
1683,674679,8508
1683.5,678941,8542
1684,683221,8576
1684.5,687518,8610
1685,691831,8644
1685.5,696162,8681
1686,700512,8717
1686.5,704879,8754
1687,709265,8790
1687.5,713669,8827
1688,718092,8863
1688.5,722532,8900
1689,726991,8936
1689.5,731468,8973
1690,735964,9009
1690.5,740477,9047
1691,745010,9085
1691.5,749562,9123
1692,754133,9160
1692.5,758722,9198
1693,763331,9236
1693.5,767958,9274
1694,772604,9311
1694.5,777269,9349
1695,781954,9387
1695.5,786657,9427
1696,791380,9467
1696.5,796124,9507
1697,800887,9546
1697.5,805670,9586
1698,810473,9626
1698.5,815296,9666
1699,820138,9705
1699.5,825001,9745
1700,829884,9785
1700.5,834787,9828
1701,839711,9871
1701.5,844658,9914
1702,849625,9957
1702.5,854614,10000
1703,859625,10042
1703.5,864657,10085
1704,869710,10128
1704.5,874785,10171
1705,879881,10214
1705.5,884999,10256
1706,890137,10298
1706.5,895296,10340
