"Partner","datetime","Ak-Chin","ASARCO","AWBA","AZ State Land","AZWC","CAGRD","CAIDD","Chandler","EPCOR","FMYN","Gilbert","Glendale","Goodyear","GRIC","HIDD","HVID","Mesa","MSIDD","MWD","Oro Valley","OTHER","Peoria","Phoenix","SCAT","Scottsdale","SRPMIC","Surprise","Tempe","Tohono O'odham","Tucson","WMAT"
"SCAT",2016-01-01,0,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,0,0
"SCAT",2016-02-01,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,3289,0,0,0,0,0,0
"SCAT",2016-03-01,0,0,0,0,0,0,0,0,0,0,1551,0,0,0,0,0,0,0,0,0,126,0,0,0,4215,0,0,0,0,0,0
"SCAT",2016-04-01,0,0,0,0,0,0,0,0,0,0,4398,0,0,0,0,0,0,0,0,0,0,0,0,0,4375,0,0,0,0,0,0
"SCAT",2016-05-01,0,0,0,0,0,0,0,0,0,0,3311,0,0,0,0,0,0,0,0,0,66,0,0,0,180,0,0,0,0,0,0
"SCAT",2016-06-01,0,0,0,0,0,0,0,0,0,0,5544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCAT",2016-07-01,0,0,0,0,0,0,0,0,0,0,3167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCAT",2016-08-01,0,0,0,0,0,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
"SCAT",2016-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0
"SCAT",2016-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0
"SCAT",2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0
"SCAT",2016-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0
"SCAT",2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0
"SCAT",2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3758,0,0,0,0,0,0
"SCAT",2017-03-01,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,130,0,0,0,7056,0,0,0,0,0,0
"SCAT",2017-04-01,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,300,0,0,0,1567,0,0,0,0,0,0
"SCAT",2017-05-01,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
"SCAT",2017-06-01,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
"SCAT",2017-07-01,0,0,0,0,0,0,0,0,0,0,5473,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
"SCAT",2017-08-01,0,0,0,0,0,0,0,0,0,0,11559,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
"SCAT",2017-09-01,0,0,0,0,0,0,0,0,0,0,1602,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
"SCAT",2017-10-01,0,0,0,0,0,0,0,0,0,0,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCAT",2017-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCAT",2017-12-01,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0
"SCAT",2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
"SCAT",2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1550,0,0,0,0,0,0
"SCAT",2018-03-01,0,0,0,0,0,0,0,0,0,0,3311,0,0,0,0,0,0,0,0,0,1132,0,0,0,1030,0,0,0,0,0,0
"SCAT",2018-04-01,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,1132,0,0,0,2327,0,0,0,0,0,0
"SCAT",2018-05-01,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,1132,0,0,0,1093,0,0,0,0,0,0
"SCAT",2018-06-01,0,0,0,0,0,0,0,0,0,0,5881,0,0,0,0,0,0,0,0,0,5332,0,0,0,0,0,0,0,0,0,0
"SCAT",2018-07-01,0,0,0,0,0,0,0,0,0,0,2727,0,0,0,0,0,0,0,0,0,6037,0,0,0,0,0,0,0,0,0,0
"SCAT",2018-08-01,0,0,0,0,0,0,0,0,0,0,737,0,0,0,0,0,0,0,0,0,1535,0,0,0,0,0,0,0,0,0,0
"SCAT",2018-09-01,0,0,0,0,0,0,0,0,0,0,761,0,0,0,0,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0
"SCAT",2018-10-01,0,0,0,0,0,0,0,0,0,0,761,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0
