"datetime","Ak-Chin","ASARCO","AWBA","AZ State Land","AZWC","CAGRD","CAIDD","Chandler","EPCOR","FMYN","Gilbert","Glendale","Goodyear","GRIC","HIDD","HVID","Mesa","MSIDD","MWD","Oro Valley","OTHER","Peoria","Phoenix","SCAT","Scottsdale","SRPMIC","Surprise","Tempe","Tohono O'odham","Tucson","WMAT"
2016-01-01,0,NA,1266,0,0,887,0,1500,0,0,1000,0,703,653,0,0,0,0,0,0,1981,529,350,0,1000,0,0,94,592,5077,0
2016-02-01,0,NA,2220,0,0,2896,0,1000,0,0,0,0,1553,5308,0,0,0,0,0,0,6385,887,650,0,2344,0,0,94,1705,8246,0
2016-03-01,0,NA,3360,0,375,2504,0,2300,328,0,1275,500,2000,16137,0,0,0,0,0,0,6778,826,500,0,6528,0,1878,94,4825,12173,0
2016-04-01,0,NA,5453,0,2500,6043,0,0,1705,0,5170,0,3202,18945,0,0,0,0,0,0,5833,2,500,0,0,0,2246,94,4927,15875,0
2016-05-01,0,NA,5566,0,2500,11639,0,0,1584,0,3714,0,1542,27841,0,0,0,0,0,0,5182,74,500,0,0,0,500,94,2524,17373,0
2016-06-01,0,NA,9028,0,0,10142,0,0,1513,0,4862,500,0,20568,0,0,0,0,0,0,10766,17,500,0,0,0,500,94,3782,16054,0
2016-07-01,0,NA,13848,0,0,4012,0,0,1706,0,3307,1500,0,24864,0,0,0,0,0,0,7800,2500,5450,0,0,0,0,0,3599,16676,0
2016-08-01,0,NA,5650,0,0,5848,0,0,1037,0,1372,500,0,15766,0,0,0,0,0,0,4578,2850,6980,0,0,0,0,94,2879,15683,0
2016-09-01,0,NA,5936,0,529,2561,0,500,1741,0,140,0,0,21730,0,0,0,0,0,0,7081,2900,1630,0,0,0,125,0,2667,15358,0
2016-10-01,0,NA,7659,0,1071,647,0,637,1178,0,140,0,0,11651,0,0,0,0,0,0,3957,0,1280,0,2200,0,0,0,1894,4950,0
2016-11-01,0,NA,4639,0,1000,2689,0,148,0,0,359,0,0,5097,0,0,0,0,0,0,1434,0,1280,0,0,0,4817,0,477,5269,0
2016-12-01,1000,NA,1139,0,0,1037,0,0,0,0,0,0,0,10875,0,0,0,0,0,0,354,430,1380,0,0,0,183,0,2604,12002,0
2017-01-01,0,0,300,0,0,22,0,0,0,0,0,0,0,306,0,0,0,0,0,259,1058,0,5431,0,115,0,0,82,1151,9080,0
2017-02-01,0,0,410,0,0,906,0,500,0,0,0,0,238,2396,0,0,0,0,0,250,3962,826,3820,0,39,0,754,0,1754,6008,0
2017-03-01,0,0,710,0,0,2937,0,600,0,0,2678,0,2032,8556,0,0,0,0,0,1005,9721,1385,4820,0,1915,0,300,0,2922,12680,0
2017-04-01,0,0,610,0,5200,3490,0,2137,1312,0,5870,0,3731,11283,0,0,0,0,0,250,12093,513,4675,0,2695,0,1954,0,4328,12656,0
2017-05-01,0,1457,740,0,2400,8612,0,500,1508,0,3025,300,2743,12579,0,0,0,0,0,1013,7778,939,6010,0,4064,0,1877,225,2117,13370,0
2017-06-01,0,5998,766,0,0,5839,0,1490,1443,0,7351,1194,0,17456,0,0,0,0,0,1810,6766,2725,6664,0,5215,0,1000,225,2791,14135,0
2017-07-01,1000,3196,4744,0,2300,3478,0,750,1619,0,8080,1751,0,18551,0,0,0,0,0,1600,4256,3098,6889,0,2963,0,1479,230,2982,15890,0
2017-08-01,1000,4330,1219,0,0,914,0,850,1261,0,13516,794,0,24443,0,0,0,0,0,2309,3553,0,10002,0,183,0,2385,131,3713,14753,0
2017-09-01,604,6019,1050,0,0,715,0,1513,1735,0,3455,531,0,25947,0,0,0,0,0,1809,4971,923,6763,0,202,0,0,144,4646,12268,0
2017-10-01,1477,0,3187,0,0,689,0,697,914,0,2068,206,0,14702,0,0,0,0,0,0,3356,954,344,0,0,0,500,22,3539,5831,0
2017-11-01,703,0,2329,0,0,3770,0,703,0,0,0,300,0,7864,0,0,0,0,0,0,1127,0,296,0,0,0,0,0,2378,615,0
2017-12-01,557,0,1565,0,0,4222,0,0,0,0,458,0,0,8860,0,0,0,0,0,0,995,0,3611,0,0,0,0,0,5925,347,0
2018-01-01,0,0,1335,0,0,280,0,0,0,0,0,28,NA,317,0,0,0,0,0,546,2531,2434,4000,0,0,0,417,0,1081,6158,0
2018-02-01,0,0,4067,0,0,4068,0,0,0,0,768,572,NA,2794,0,0,0,0,0,650,3511,1042,4964,0,1550,0,1500,0,1378,10882,0
2018-03-01,1327,0,3562,0,0,4720,0,1000,0,0,5436,0,NA,4383,0,0,0,0,0,1753,9345,816,4905,0,1030,0,2583,0,1680,13457,0
2018-04-01,1063,0,3226,0,0,6207,0,2200,0,0,4204,0,NA,12075,0,0,0,0,0,2460,11245,1238,6181,0,2491,0,1117,117,2617,14390,0
2018-05-01,90,0,2963,0,5500,2210,0,0,0,0,5522,0,NA,14344,0,0,0,0,0,1750,8782,2227,6095,0,1032,0,967,117,4717,15130,0
2018-06-01,4910,1146,3034,0,5175,2084,0,500,0,0,8665,0,NA,32389,0,0,0,0,0,1107,11376,3053,6789,0,164,0,1167,117,2753,11982,0
2018-07-01,0,6306,2271,0,0,1897,0,1171,0,0,4606,255,NA,42807,0,0,0,0,0,1427,15692,1767,7396,0,164,0,417,118,4795,9729,0
2018-08-01,0,5574,2621,0,0,11549,0,400,0,0,0,477,NA,32254,0,0,0,0,0,312,8378,3923,7148,0,164,0,0,118,846,15872,0
2018-09-01,0,5555,12435,0,1150,3220,0,1100,0,0,0,400,NA,27141,0,0,0,0,0,300,3952,409,6651,0,4306,0,2081,118,1711,14379,0
2018-10-01,673,1867,11488,0,0,2739,0,300,0,0,0,300,NA,13355,0,0,0,0,0,0,1152,0,4243,0,0,0,0,0,3072,6513,0
2018-11-01,3307,552,3331,0,0,2083,0,0,0,0,971,0,NA,15510,0,0,0,0,0,0,785,0,2631,0,0,0,0,0,5816,1166,0
2018-12-01,0,0,1167,0,134,884,0,0,0,0,29,0,NA,7270,0,0,0,0,0,0,188,425,2053,0,0,0,0,0,4788,3622,0
2019-01-01,0,0,NA,0,0,361,0,0,0,0,262,0,NA,559,0,0,0,0,0,650,1832,0,2811,0,99,0,224,NA,626,10767,0
2019-02-01,0,0,NA,0,0,48,0,0,0,0,249,0,NA,5159,0,0,0,0,0,400,1898,1408,4798,0,99,0,224,NA,892,8895,0
2019-03-01,0,0,NA,0,0,1113,0,300,0,0,350,0,NA,9782,0,0,0,0,0,650,5156,2609,6658,0,138,0,224,NA,1222,12978,0
2019-04-01,0,0,NA,0,0,1707,0,2014,0,0,325,0,NA,6363,0,0,0,0,0,650,10353,2513,6669,0,4697,0,1224,NA,3552,17503,0
2019-05-01,0,0,NA,0,4600,5091,0,1500,0,0,706,500,NA,4893,0,0,0,0,0,650,11841,2422,11648,0,138,0,1224,NA,1652,17840,0
2019-06-01,0,0,NA,0,3550,5786,0,4205,0,0,458,300,NA,10847,0,0,0,0,0,1306,18474,3225,2137,0,138,0,1729,NA,3689,22149,0
2019-07-01,2056,0,NA,0,0,2721,0,1920,0,0,866,832,NA,9608,0,0,0,0,0,2479,17433,5406,1000,0,1692,0,1227,NA,5575,19374,0
2019-08-01,4965,0,NA,0,1308,1475,0,1275,0,0,1002,0,NA,17956,0,0,0,0,0,2625,15707,903,6909,0,572,0,1025,NA,7171,17384,0
2019-09-01,979,0,NA,0,2262,1508,0,1202,0,0,2075,700,NA,21344,0,0,0,0,0,645,3103,219,8560,0,2142,0,1124,NA,3717,9364,0
2019-10-01,0,0,NA,0,480,1634,0,0,0,0,500,200,NA,17254,0,0,0,0,0,250,1802,512,8528,0,2494,0,1124,NA,4699,5886,0
2019-11-01,0,0,NA,0,0,1517,0,0,0,0,0,0,NA,443,0,0,0,0,0,0,0,0,557,0,0,0,900,NA,5041,175,0
2019-12-01,0,0,NA,0,0,4886,0,0,0,0,140,0,NA,3882,0,0,0,0,0,0,691,554,3717,0,0,0,0,NA,7900,1824,0
