"","Variable","Jan","Feb","Mar","Q1","Apr","May","Jun","Q2","Jul","Aug","Sep","Q3","Oct","Nov","Dec","Q4","Total","Physical Turnout","Group","Subgroup","Name","Section","Year"
"1","Canal Losses","97","148","274","519","367","425","417","1209","416","334","316","1066","285","235","186","706","3500",NA,"Canal Losses",NA,NA,"HAVASU PP",2008
"2","SEGMENT DEMAND","97","148","274","519","367","425","417","1209","416","334","316","1066","285","235","186","706","3500",NA,"SEGMENT DEMAND",NA,NA,"HAVASU PP",2008
"3","SEGMENT AVG FLOW (CFS)","1.5779285214647079","2.6655140119587926","4.457241390529175",NA,"6.1691040511010247","6.9136043466237203","7.0095814422592033",NA,"6.7671986075187478","5.433279651228994","5.3118171121196838",NA,"4.6361817383241419","3.9502437384434357","3.02571860816944",NA,NA,NA,"SEGMENT AVG FLOW (CFS)",NA,NA,"HAVASU PP",2008
"4","VOLUME PASSING HAV","164640","157726","168421","490787","165960","171988","128502","466450","80929","68579","94410","243918","135395","168155","66617","370167","1571322",NA,"VOLUME PASSING HAV",NA,NA,"HAVASU PP",2008
"5","FLOW PASSING HAV (CFS)","2678.2489873603045","2840.6815070960301","2739.7556650887382",NA,"2789.7125567322237","2797.7811396873421","2160.0605143721632",NA,"1316.4966733362614","1115.5954646755486","1586.9894099848714",NA,"2202.5116717908677","2826.6095142040681","1083.6790135506644",NA,NA,"Physical","FLOW PASSING HAV (CFS)",NA,NA,"HAVASU PP",2008
"6","                    TOTAL M&I","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL M&I",NA,NA,"BOUSE PP",2008
"7","                    TOTAL AG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL AG",NA,NA,"BOUSE PP",2008
"8","                    TOTAL FEDERAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL FEDERAL",NA,NA,"BOUSE PP",2008
"9","               Pinnacle West Capital Corporation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"RECHARGE:","Direct Incentive","Pinnacle West Capital Corporation","BOUSE PP",2008
"10","               Ranegras Plain Recharge Project","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"RECHARGE:","Direct AWBA","Ranegras Plain Recharge Project","BOUSE PP",2008
"11","               TOTAL INDIRECT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL INDIRECT",NA,NA,"BOUSE PP",2008
"12","               TOTAL RECHARGE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL RECHARGE",NA,NA,"BOUSE PP",2008
"13","            TOTAL DELIVERIES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL DELIVERIES",NA,NA,"BOUSE PP",2008
"14","Canal Losses","96","145","261","502","350","402","396","1148","394","318","301","1013","272","226","179","677","3340",NA,"Canal Losses",NA,NA,"BOUSE PP",2008
"15","SEGMENT DEMAND","96","145","261","502","350","402","396","1148","394","318","301","1013","272","226","179","677","3340",NA,"SEGMENT DEMAND",NA,NA,"BOUSE PP",2008
"16","SEGMENT AVG FLOW (CFS)","1.5616612171197111","2.6114833225271954","4.2457664340442145",NA,"5.8833417381072444","6.5394563466887892","6.6565809379727678",NA,"6.4093179119288139","5.1730027817090427","5.0596738947722306",NA,"4.4247067818391805","3.7989578080349635","2.9118474777544612",NA,NA,NA,"SEGMENT AVG FLOW (CFS)",NA,NA,"BOUSE PP",2008
"17","VOLUME PASSING BSH","164543","157578","168147","490268","165593","171563","128085","465241","80513","68245","94094","242852","135110","167920","66431","369461","1567822",NA,"VOLUME PASSING BSH",NA,NA,"BOUSE PP",2008
"18","FLOW PASSING BSH (CFS)","2676.6710588388396","2838.0159930840719","2735.2984236982088",NA,"2783.5434526811227","2790.8675353407184","2153.0509329299039",NA,"1309.7294747287426","1110.1621850243196","1581.6775928727516",NA,"2197.8754900525432","2822.6592704656241","1080.653294942495",NA,NA,NA,"FLOW PASSING BSH (CFS)",NA,NA,"BOUSE PP",2008
"19","               AZ American (WVC) - TDRP","0","0","0","0","0","3231","0","3231","0","0","0","0","0","0","0","0","3231",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","AZ American (WVC) - TDRP","LITTLE HARQUAHALA PP",2008
