"User","Partner","Agreement","Year","Group","Data","Month","deliveries"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Jan","0"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Feb","0"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Mar","0"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Apr","0"
"Ag Excess",NA,NA,2016,"Summary","Delivery","May","0"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Jun","0"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Jul","0"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Aug","0"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Sep","0"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Oct","0"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Nov","11"
"Ag Excess",NA,NA,2016,"Summary","Delivery","Dec","0"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Jan","1913"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Feb","15616"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Mar","26911"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Apr","29045"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","May","35073"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Jun","59682"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Jul","40687"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Aug","33893"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Sep","20881"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Oct","9602"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Nov","2385"
"Excess - Ag Pool",NA,NA,2016,"Summary","Delivery","Dec","5001"
"Federal Off-Res",NA,NA,2016,"Summary","Delivery","Jan","15830"
"Federal Off-Res",NA,NA,2016,"Summary","Delivery","Feb","25119"
"Federal Off-Res",NA,NA,2016,"Summary","Delivery","Mar","43201"
"Federal Off-Res",NA,NA,2016,"Summary","Delivery","Apr","46359"
"Federal Off-Res",NA,NA,2016,"Summary","Delivery","May","52847"
"Federal Off-Res",NA,NA,2016,"Summary","Delivery","Jun","34790"
"Federal Off-Res",NA,NA,2016,"Summary","Delivery","Jul","42245"
"Federal Off-Res",NA,NA,2016,"Summary","Delivery","Aug","29705"
"Federal Off-Res",NA,NA,2016,"Summary","Delivery","Sep","31835"
