"Table","Year","Month","Variable","Value"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"JAN","HAV","164640"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"FEB","HAV","157726"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"MAR","HAV","168421"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"APR","HAV","165960"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"MAY","HAV","171988"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"JUN","HAV","128502"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"JUL","HAV","80929"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"AUG","HAV","68579"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"SEP","HAV","94410"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"OCT","HAV","135395"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"NOV","HAV","168155"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"DEC","HAV","66617"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"TOTAL","HAV","1571322"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"JAN","HAV","172706"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"FEB","HAV","160469"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"MAR","HAV","180951"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"APR","HAV","173713"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"MAY","HAV","164967"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"JUN","HAV","96957"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"JUL","HAV","76069"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"AUG","HAV","71557"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"SEP","HAV","143425"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"OCT","HAV","135867"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"NOV","HAV","138591"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"DEC","HAV","150142"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"TOTAL","HAV","1665414"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"JAN","HAV","126667"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"FEB","HAV","91280"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"MAR","HAV","130042"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"APR","HAV","153814"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"MAY","HAV","170685"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"JUN","HAV","172283"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"JUL","HAV","54228"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"AUG","HAV","87819"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"SEP","HAV","168372"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"OCT","HAV","165231"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"NOV","HAV","151638"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"DEC","HAV","189514"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"TOTAL","HAV","1661573"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"JAN","HAV","89980"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"FEB","HAV","133796"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"MAR","HAV","185757"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"APR","HAV","180578"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"MAY","HAV","167185"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"JUN","HAV","155346"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"JUL","HAV","79405"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"AUG","HAV","61540"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"SEP","HAV","103188"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"OCT","HAV","148432"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"NOV","HAV","175631"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"DEC","HAV","150248"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"TOTAL","HAV","1631086"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"JAN","HAV","183553"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"FEB","HAV","168272"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"MAR","HAV","187522"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"APR","HAV","181404"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"MAY","HAV","180592"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"JUN","HAV","131197"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"JUL","HAV","39980"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"AUG","HAV","86596"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"SEP","HAV","137380"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"OCT","HAV","31986"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"NOV","HAV","173290"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"DEC","HAV","133980"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"TOTAL","HAV","1635752"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"JAN","HAV","81083"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"FEB","HAV","146057"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"MAR","HAV","178756"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"APR","HAV","150717"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"MAY","HAV","176183"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"JUN","HAV","130223"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"JUL","HAV","84931"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"AUG","HAV","96915"
