Month,2014,2015,2016,2017,2018,2019,2020,2021
Jan,41.22380952380953,25.428181818181816,21.5835,26.788,26.95421052631579,29.426190476190477,17.366190476190475,25.300526315789472
Feb,61.28578947368421,24.31421052631579,18.739,21.59526315789474,27.3721052631579,60.91526315789474,16.89578947368421,75.70052631578949
Mar,42.34673938602268,25.19363636363636,17.18409090909091,21.083478260869565,24.686666666666664,26.698571428571427,22.605,24.806956521739128
Apr,41.05244623046991,24.04090909090909,18.95714285714286,28.757368421052632,25.643809523809523,18.65952380952381,17.025238095238095,30.336666666666662
May,42.64372816232449,24.1205,18.79,29.515238095238097,22.582727272727272,12.967619047619047,15.4225,32.061
Jun,45.72301479990925,33.36,31.520476190476188,41.91181818181818,33.31904761904762,25.942500000000003,26.033636363636365,154.56136363636364
Jul,45.46624130557403,32.280454545454546,40.36,40.522000000000006,115.18285714285715,42.49681818181818,40.960454545454546,104.15285714285714
Aug,41.45711530059779,35.24904761904762,36.950434782608696,54.689130434782605,88.13636363636364,42.70227272727273,231.54047619047617,67.39181818181818
Sep,40.83558372478585,29.686190476190475,26.23428571428571,33.957499999999996,30.271499999999996,34.6105,74.01666666666668,78.22190476190475
Oct,38.10304347826087,26.922727272727272,26.530952380952378,35.518181818181816,31.089130434782607,31.093478260869563,47.17136363636364,49.74476190476191
Nov,38.839999999999996,22.76388888888889,20.192105263157895,28.49631578947368,39.671052631578945,37.88333333333333,29.39833333333333,45.47210526315789
Dec,31.655,21.57761904761905,28.4,27.057499999999997,40.235789473684214,28.301,27.446999999999996,45.58857142857143
