"datetime","Ak-Chin","ASARCO","AWBA","AZ State Land","AZWC","CAGRD","CAIDD","Chandler","EPCOR","FMYN","Gilbert","Glendale","Goodyear","GRIC","HIDD","HVID","Mesa","MSIDD","MWD","Oro Valley","OTHER","Peoria","Phoenix","SCAT","Scottsdale","SRPMIC","Surprise","Tempe","Tohono O'odham","Tucson","WMAT"
2016-01-01,0,0,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1183,0,350,0,0,0,0,0,592,5077,0
2016-02-01,0,0,1020,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,0,1725,2333,0,650,0,0,0,0,0,576,8246,0
2016-03-01,0,0,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2826,2771,0,500,0,0,0,0,0,687,12173,0
2016-04-01,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,4321,0,500,0,0,0,0,0,671,15875,0
2016-05-01,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953,2715,0,500,0,0,0,0,0,757,17373,0
2016-06-01,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355,1773,0,500,0,0,0,0,0,485,16054,0
2016-07-01,0,0,2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,2520,0,500,0,0,0,0,0,545,16676,0
2016-08-01,0,0,1891,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,858,1103,0,550,0,0,0,0,0,834,15683,0
2016-09-01,0,0,624,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0,0,369,3310,0,600,0,0,0,0,0,746,15358,0
2016-10-01,0,0,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,250,0,0,0,0,0,402,4950,0
2016-11-01,0,0,894,0,0,2191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,250,0,0,0,0,0,477,5269,0
2016-12-01,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,353,0,350,0,0,0,0,0,703,12002,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,826,0,3820,0,0,0,0,0,777,9080,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,1794,0,3820,0,0,0,0,0,739,6008,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,4132,0,4820,0,0,0,0,0,756,12680,0
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,5481,0,3820,0,0,0,0,0,757,12656,0
2017-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,3825,0,3820,0,0,0,0,0,742,13370,0
2017-06-01,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,2970,0,3589,0,0,0,0,0,791,14135,0
2017-07-01,0,0,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,1660,0,3848,0,0,0,0,0,815,15890,0
2017-08-01,0,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309,2240,0,4176,0,0,0,0,0,713,14753,0
2017-09-01,604,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1809,2044,0,5182,0,0,0,0,0,779,12268,0
2017-10-01,1477,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,105,0,0,0,0,0,476,5831,0
2017-11-01,454,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,263,615,0
2017-12-01,0,0,1,0,0,1824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,0,3000,0,0,0,0,0,4193,347,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,1170,0,4000,0,0,0,0,0,764,6158,0
2018-02-01,0,0,2623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,1574,0,4500,0,0,0,0,0,671,10882,0
2018-03-01,328,0,2052,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,1753,2382,0,4300,0,0,0,0,0,680,13457,0
2018-04-01,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2460,3330,0,4300,0,0,0,0,0,617,14390,0
2018-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,3428,0,4300,0,0,0,0,0,717,15130,0
2018-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,3012,0,4138,0,0,0,0,0,753,11982,0
2018-07-01,0,0,2271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427,3130,0,4462,0,0,0,0,0,807,9729,0
2018-08-01,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,5028,0,3800,0,0,0,0,0,846,15872,0
2018-09-01,0,0,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,2406,0,3800,0,0,0,0,0,754,14379,0
2018-10-01,0,0,2064,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,1400,0,0,0,0,0,479,6513,0
2018-11-01,0,0,5,0,0,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,0,857,0,0,0,0,0,206,1166,0
