"datetime","realization","MDE_ele"
2023-01-01,"27",1052.08
2023-02-01,"27",1051.62
2023-03-01,"27",1047.8
2023-04-01,"27",1042.85
2023-05-01,"27",1038.44
2023-06-01,"27",1032.66
2023-07-01,"27",1029.17
2023-08-01,"27",1027.94
2023-09-01,"27",1026.77
2023-10-01,"27",1026.82
2023-11-01,"27",1025.45
2023-12-01,"27",1026.21
2024-01-01,"27",1028.3
2024-02-01,"27",1028.37
2024-03-01,"27",1025.17
2024-04-01,"27",1020
2024-05-01,"27",1016.01
2024-06-01,"27",1010.7
2024-07-01,"27",1007.03
2024-08-01,"27",1005.5
2024-09-01,"27",1003.57
2024-10-01,"27",1007.83
2024-11-01,"27",1009.16
2024-12-01,"27",1011.98
2025-01-01,"27",1015.2
2025-02-01,"27",1015.79
2025-03-01,"27",1013.98
2025-04-01,"27",1010.03
2025-05-01,"27",1006.91
2025-06-01,"27",1002.57
2025-07-01,"27",999.84
2025-08-01,"27",999.48
2025-09-01,"27",998.49
2025-10-01,"27",1002.46
2025-11-01,"27",1004.69
2025-12-01,"27",1008.5
2026-01-01,"27",1013.11
2026-02-01,"27",1015.95
2026-03-01,"27",1015.11
2026-04-01,"27",1011.78
2026-05-01,"27",1009.22
2026-06-01,"27",1004.63
2026-07-01,"27",1002.47
2026-08-01,"27",1001.79
2026-09-01,"27",1001.38
2026-10-01,"27",1005.04
2026-11-01,"27",1007.5
2026-12-01,"27",1011.06
2027-01-01,"27",1016.57
2027-02-01,"27",1018.91
2027-03-01,"27",1018.78
2027-04-01,"27",1015.18
2027-05-01,"27",1013.1
2027-06-01,"27",1009.73
2027-07-01,"27",1009.55
2027-08-01,"27",1010.57
2027-09-01,"27",1011.11
2027-10-01,"27",1015.43
2027-11-01,"27",1017.61
2027-12-01,"27",1021.28
2028-01-01,"27",1025.29
2028-02-01,"27",1027.28
2028-03-01,"27",1028.11
2028-04-01,"27",1025.23
2028-05-01,"27",1023.45
2028-06-01,"27",1019.7
2028-07-01,"27",1016.27
2028-08-01,"27",1015.3
2028-09-01,"27",1014.58
2028-10-01,"27",1017.8
2028-11-01,"27",1021.34
2028-12-01,"27",1025.97
2029-01-01,"27",1031.06
2029-02-01,"27",1034.22
2029-03-01,"27",1034.63
2029-04-01,"27",1033.77
2029-05-01,"27",1032.87
2029-06-01,"27",1030.94
2029-07-01,"27",1030.26
2029-08-01,"27",1032.75
2029-09-01,"27",1033.47
2029-10-01,"27",1037.94
2029-11-01,"27",1039.77
2029-12-01,"27",1042.58
2030-01-01,"27",1044.41
2030-02-01,"27",1044.53
2030-03-01,"27",1042.06
2030-04-01,"27",1037.5
2030-05-01,"27",1033.11
2030-06-01,"27",1028.3
2030-07-01,"27",1026.21
2030-08-01,"27",1025.31
2030-09-01,"27",1024.3
2030-10-01,"27",1027.87
2030-11-01,"27",1029.03
2030-12-01,"27",1032.24
2031-01-01,"27",1034.47
2031-02-01,"27",1033.83
2031-03-01,"27",1031.31
2031-04-01,"27",1026.02
2031-05-01,"27",1021.66
2031-06-01,"27",1017.46
2031-07-01,"27",1014.15
2031-08-01,"27",1013.18
2031-09-01,"27",1013.94
2031-10-01,"27",1017.26
2031-11-01,"27",1018.97
2031-12-01,"27",1021.87
2032-01-01,"27",1024.89
2032-02-01,"27",1025.13
2032-03-01,"27",1023.28
2032-04-01,"27",1018.47
2032-05-01,"27",1014.17
2032-06-01,"27",1009.65
2032-07-01,"27",1005.27
2032-08-01,"27",1007.34
2032-09-01,"27",1007.48
2032-10-01,"27",1011.51
2032-11-01,"27",1014
2032-12-01,"27",1018.3
2033-01-01,"27",1021.02
2033-02-01,"27",1022.06
2033-03-01,"27",1022.5
2033-04-01,"27",1018.39
2033-05-01,"27",1015.04
2033-06-01,"27",1009.18
2033-07-01,"27",1005.53
2033-08-01,"27",1004.74
2033-09-01,"27",1003.82
2033-10-01,"27",1008.93
2033-11-01,"27",1011.41
2033-12-01,"27",1016.41
2034-01-01,"27",1028.78
