"datetime","realization","MDE_ele"
2023-01-01,"1",1052.91
2023-02-01,"1",1053.4
2023-03-01,"1",1051.32
2023-04-01,"1",1048.23
2023-05-01,"1",1045.12
2023-06-01,"1",1040.9
2023-07-01,"1",1037.63
2023-08-01,"1",1037.26
2023-09-01,"1",1035.66
2023-10-01,"1",1036.94
2023-11-01,"1",1035.91
2023-12-01,"1",1036.29
2024-01-01,"1",1038.56
2024-02-01,"1",1038.96
2024-03-01,"1",1036.74
2024-04-01,"1",1032.3
2024-05-01,"1",1028.04
2024-06-01,"1",1023.39
2024-07-01,"1",1021.61
2024-08-01,"1",1021.11
2024-09-01,"1",1020.31
2024-10-01,"1",1023.58
2024-11-01,"1",1024.41
2024-12-01,"1",1027.35
2025-01-01,"1",1028.39
2025-02-01,"1",1026.58
2025-03-01,"1",1022.75
2025-04-01,"1",1016.06
2025-05-01,"1",1010.29
2025-06-01,"1",1004.59
2025-07-01,"1",999.69
2025-08-01,"1",997.19
2025-09-01,"1",996.81
2025-10-01,"1",1000.01
2025-11-01,"1",1001.45
2025-12-01,"1",1003.55
2026-01-01,"1",1005.66
2026-02-01,"1",1005.33
2026-03-01,"1",1002.51
2026-04-01,"1",996.86
2026-05-01,"1",992.88
2026-06-01,"1",988.47
2026-07-01,"1",983.69
2026-08-01,"1",982.69
2026-09-01,"1",981.97
2026-10-01,"1",986.69
2026-11-01,"1",989.63
2026-12-01,"1",994.6
2027-01-01,"1",998.07
2027-02-01,"1",999.27
2027-03-01,"1",999.69
2027-04-01,"1",995.15
2027-05-01,"1",991.46
2027-06-01,"1",984.93
2027-07-01,"1",980.9
2027-08-01,"1",980.15
2027-09-01,"1",979.23
2027-10-01,"1",985.17
2027-11-01,"1",988.09
2027-12-01,"1",993.21
2028-01-01,"1",1004.9
2028-02-01,"1",1013.5
2028-03-01,"1",1019.81
2028-04-01,"1",1018.96
2028-05-01,"1",1019.85
2028-06-01,"1",1018.73
2028-07-01,"1",1019.21
2028-08-01,"1",1028.03
2028-09-01,"1",1033.19
2028-10-01,"1",1034.74
2028-11-01,"1",1035.07
2028-12-01,"1",1037.05
2029-01-01,"1",1039.42
2029-02-01,"1",1039.56
2029-03-01,"1",1038.11
2029-04-01,"1",1033.33
2029-05-01,"1",1030.49
2029-06-01,"1",1025.9
2029-07-01,"1",1022.79
2029-08-01,"1",1021.38
2029-09-01,"1",1020.68
2029-10-01,"1",1024.23
2029-11-01,"1",1025.32
2029-12-01,"1",1029.27
2030-01-01,"1",1036.08
2030-02-01,"1",1040.18
2030-03-01,"1",1043.29
2030-04-01,"1",1039.91
2030-05-01,"1",1039.32
2030-06-01,"1",1040.23
2030-07-01,"1",1043.15
2030-08-01,"1",1047.31
2030-09-01,"1",1050.16
2030-10-01,"1",1053.45
2030-11-01,"1",1055.88
2030-12-01,"1",1059.05
2031-01-01,"1",1060.02
2031-02-01,"1",1058.96
2031-03-01,"1",1054.54
2031-04-01,"1",1050.22
2031-05-01,"1",1046.56
2031-06-01,"1",1041.62
2031-07-01,"1",1038.63
2031-08-01,"1",1036.71
2031-09-01,"1",1034.67
2031-10-01,"1",1037.55
2031-11-01,"1",1039.48
2031-12-01,"1",1041.15
2032-01-01,"1",1044.11
2032-02-01,"1",1045.11
2032-03-01,"1",1045.59
2032-04-01,"1",1043.09
2032-05-01,"1",1041.29
2032-06-01,"1",1038.56
2032-07-01,"1",1037.57
2032-08-01,"1",1039.24
2032-09-01,"1",1040.79
2032-10-01,"1",1043.72
2032-11-01,"1",1045.83
2032-12-01,"1",1047.58
2033-01-01,"1",1049.82
2033-02-01,"1",1052.06
2033-03-01,"1",1052.77
2033-04-01,"1",1051.93
2033-05-01,"1",1051.46
2033-06-01,"1",1049.56
2033-07-01,"1",1049.35
2033-08-01,"1",1050.13
2033-09-01,"1",1050.43
2033-10-01,"1",1053.21
2033-11-01,"1",1053.75
2033-12-01,"1",1054.36
2034-01-01,"1",1058.83
2034-02-01,"1",1060.03
2034-03-01,"1",1059.15
2034-04-01,"1",1060.27
2034-05-01,"1",1062.98
2034-06-01,"1",1067.21
2034-07-01,"1",1076.61
2034-08-01,"1",1089.96
2034-09-01,"1",1098.28
2034-10-01,"1",1099.94
2034-11-01,"1",1100.8
2034-12-01,"1",1102.67
2035-01-01,"1",1103.85
2035-02-01,"1",1103.18
2035-03-01,"1",1100.92
2035-04-01,"1",1096.16
2035-05-01,"1",1093.69
2035-06-01,"1",1090.82
2035-07-01,"1",1088.09
2035-08-01,"1",1087.04
2035-09-01,"1",1085.31
2035-10-01,"1",1086.52
2035-11-01,"1",1086.1
2035-12-01,"1",1086.81
2036-01-01,"1",1088.63
2036-02-01,"1",1088.39
2036-03-01,"1",1086.4
2036-04-01,"1",1082.17
2036-05-01,"1",1079.82
2036-06-01,"1",1076.64
2036-07-01,"1",1074.1
2036-08-01,"1",1073.66
2036-09-01,"1",1072.7
2036-10-01,"1",1073.92
2036-11-01,"1",1073.79
2036-12-01,"1",1074.77
2037-01-01,"1",1077.34
2037-02-01,"1",1077.92
2037-03-01,"1",1076.51
2037-04-01,"1",1072.82
2037-05-01,"1",1070.68
2037-06-01,"1",1067.16
2037-07-01,"1",1062.48
2037-08-01,"1",1063.61
2037-09-01,"1",1065.36
2037-10-01,"1",1065.95
2037-11-01,"1",1065.07
2037-12-01,"1",1065.44
2038-01-01,"1",1066.99
2038-02-01,"1",1067.18
2038-03-01,"1",1064.51
2038-04-01,"1",1060.14
2038-05-01,"1",1056.84
2038-06-01,"1",1052.32
2038-07-01,"1",1049.09
2038-08-01,"1",1048.27
2038-09-01,"1",1046.88
2038-10-01,"1",1046.86
2038-11-01,"1",1046.1
2038-12-01,"1",1046.49
2039-01-01,"1",1047.94
2039-02-01,"1",1048.06
2039-03-01,"1",1045.05
2039-04-01,"1",1041.01
2039-05-01,"1",1037.48
2039-06-01,"1",1032.52
2039-07-01,"1",1029.27
2039-08-01,"1",1027.75
2039-09-01,"1",1027.22
2039-10-01,"1",1031.97
2039-11-01,"1",1034.8
2039-12-01,"1",1038.14
2040-01-01,"1",1046
2040-02-01,"1",1050.78
2040-03-01,"1",1051.17
2040-04-01,"1",1047.83
2040-05-01,"1",1045.7
2040-06-01,"1",1040.87
2040-07-01,"1",1038.17
2040-08-01,"1",1043.51
2040-09-01,"1",1046.07
2040-10-01,"1",1047.29
2040-11-01,"1",1046.53
2040-12-01,"1",1047.43
2041-01-01,"1",1048.57
2041-02-01,"1",1048.2
2041-03-01,"1",1046.49
2041-04-01,"1",1041.9
2041-05-01,"1",1038.11
2041-06-01,"1",1033.31
2041-07-01,"1",1029.75
2041-08-01,"1",1028.58
2041-09-01,"1",1026.72
2041-10-01,"1",1028.44
2041-11-01,"1",1027.65
2041-12-01,"1",1028.05
2042-01-01,"1",1030.02
2042-02-01,"1",1029.98
2042-03-01,"1",1028.36
2042-04-01,"1",1023.88
2042-05-01,"1",1020.64
2042-06-01,"1",1016.1
2042-07-01,"1",1013.51
2042-08-01,"1",1013.48
2042-09-01,"1",1012.4
2042-10-01,"1",1015.99
2042-11-01,"1",1018.36
2042-12-01,"1",1022.07
2043-01-01,"1",1025.88
2043-02-01,"1",1027.93
2043-03-01,"1",1027.46
2043-04-01,"1",1023.75
2043-05-01,"1",1021.44
2043-06-01,"1",1017.85
2043-07-01,"1",1015.99
2043-08-01,"1",1016.42
2043-09-01,"1",1016.34
2043-10-01,"1",1020.31
2043-11-01,"1",1023
2043-12-01,"1",1026.85
2044-01-01,"1",1030.76
2044-02-01,"1",1033.12
2044-03-01,"1",1032.97
2044-04-01,"1",1030.13
2044-05-01,"1",1029.48
2044-06-01,"1",1027.31
2044-07-01,"1",1026.31
2044-08-01,"1",1026.82
2044-09-01,"1",1027.26
2044-10-01,"1",1030.26
2044-11-01,"1",1031.94
2044-12-01,"1",1034.58
2045-01-01,"1",1040.09
2045-02-01,"1",1042.25
2045-03-01,"1",1042.77
2045-04-01,"1",1041.44
2045-05-01,"1",1040.07
2045-06-01,"1",1037.39
2045-07-01,"1",1035.48
2045-08-01,"1",1036.47
2045-09-01,"1",1036.78
2045-10-01,"1",1038.04
2045-11-01,"1",1036.85
2045-12-01,"1",1041.12
2046-01-01,"1",1042.96
2046-02-01,"1",1043.45
2046-03-01,"1",1041.46
2046-04-01,"1",1038.24
2046-05-01,"1",1035.64
2046-06-01,"1",1031.72
2046-07-01,"1",1028.72
2046-08-01,"1",1027.47
2046-09-01,"1",1026.23
2046-10-01,"1",1029.45
2046-11-01,"1",1031.02
2046-12-01,"1",1034.32
2047-01-01,"1",1038.09
2047-02-01,"1",1039.46
2047-03-01,"1",1038.85
2047-04-01,"1",1036.03
2047-05-01,"1",1034.35
2047-06-01,"1",1031.14
2047-07-01,"1",1030.91
2047-08-01,"1",1033.18
2047-09-01,"1",1033.93
2047-10-01,"1",1037.38
2047-11-01,"1",1039.21
2047-12-01,"1",1042.09
2048-01-01,"1",1043.8
2048-02-01,"1",1043.26
2048-03-01,"1",1040.7
2048-04-01,"1",1035.52
2048-05-01,"1",1031.62
2048-06-01,"1",1025.98
2048-07-01,"1",1022.82
