"datetime","MDE_ele","PLS_ele","PLS_pumping","PLS_hydrorelease","CAP_div","CAP_losses"
2013-01-01,1122.32,"1690.19981160006",54064,24714,81083,739
2013-02-01,1122.14,"1693.66",89116,0,146057,1283
2013-03-01,1118.59,"1696.7",66664,0,178756,2185
2013-04-01,1112.91,"1696.11085484296",316,34341,150717,2959
2013-05-01,1108.36,"1693.78",0,20589,176183,3425
2013-06-01,1105.98,"1681.1",0,78357,130223,3464
2013-07-01,1105.92,"1671.66997253111",0,94386,84931,3382
2013-08-01,1106.13,"1661.27981884528",0,87700,96915,2663
2013-09-01,1106.92,"1659.68",27530,371,149998,2559
2013-10-01,1104.04,"1666.27",78545,0,187598,2343
2013-11-01,1106.36,"1674.31",80601,0,144410,1892
2013-12-01,1106.73,"1677.0298820349",43033,0,137651,1423
2014-01-01,1108.75,"1690.19981160006",54111,26551,82943,739
2014-02-01,1107.94,"1693.66",52725,0,129457,1283
2014-03-01,1101.71,"1696.7",48127,0,175427,2185
2014-04-01,1094.55,"1696.11085484296",9835,359,177805,2959
2014-05-01,1087.46,"1693.78",1525,9966,183495,3425
2014-06-01,1082.66,"1681.1",0,64683,135338,3464
2014-07-01,1080.6,"1671.66997253111",0,93862,95293,3382
2014-08-01,1081.55,"1661.27981884528",0,67548,101705,2663
2014-09-01,1081.33,"1659.68",27580,5520,139946,2559
2014-10-01,1082.79,"1666.27",5000,0,119736,2343
2014-11-01,1083.57,"1674.31",48000,0,135762,1892
2014-12-01,1087.79,"1677.0298820349",40000,0,113757,1423
2015-01-01,1088.51,"1690.19981160006",115675,0,175142,739
2015-02-01,1088.98,"1693.66",24605,260,109033,1283
2015-03-01,1084.87,"1696.7",11698,6159,144761,2185
2015-04-01,1079.03,"1696.11085484296",1058,34505,155376,2959
2015-05-01,1076.57,"1693.78",36939,3516,176442,3425
2015-06-01,1075.08,"1681.1",375,83579,81465,3464
2015-07-01,1078.15,"1671.66997253111",0,87950,73014,3382
2015-08-01,1078.31,"1661.27981884528",0,97320,70573,2663
2015-09-01,1078.1,"1659.68",41077,2011,164863,2559
2015-10-01,1078.99,"1666.27",27691,10146,117898,2343
2015-11-01,1078.23,"1674.31",48256,0,117023,1892
2015-12-01,1080.91,"1677.0298820349",47232,0,128303,1423
2016-01-01,1083.68,"1690.19981160006",108452,0,152339,739
2016-02-01,1084.17,"1693.66",32889,0,113951,1283
2016-03-01,1080.45,"1696.7",4539,10501,122458,2185
2016-04-01,1076.13,"1696.11085484296",28044,0,167054,2959
2016-05-01,1073.8,"1693.78",12390,0,178122,3425
2016-06-01,1071.64,"1681.1",0,112673,91636,3464
2016-07-01,1072.75,"1671.66997253111",0,119947,77423,3382
2016-08-01,1075.17,"1661.27981884528",0,87736,67691,2663
2016-09-01,1075.23,"1659.68",19406,22496,131247,2559
2016-10-01,1076.34,"1666.27",40011,1165,133437,2343
2016-11-01,1076.55,"1674.31",74729,0,138414,1892
