"Month","Ak-Chin","ASARCO","AWBA","AZ State Land","AZWC","CAGRD","CAIDD","Chandler","EPCOR","FMYN","Gilbert","Glendale","Goodyear","GRIC","HIDD","HVID","Mesa","MSIDD","MWD","Oro Valley","OTHER","Peoria","Phoenix","SCAT","Scottsdale","SRPMIC","Surprise","Tempe","Tohono O'odham","Tucson","WMAT"
"Jan",0,0,0.0149199997942778,0,0.0245462774036175,0.0201801614412915,0,0.0509185080299586,0,0,0.00987040208983474,0.00196712097794014,0.09948686528299,0.0100902071104428,0,0,0,0,0,0.0443797509299693,0.022577908741852,0.0470562177835052,0.0438587518952612,0,0.0187992628954581,0,0.0153023059160243,0.0640932265112892,0.0244228768915881,0.0586974542306818,0
"Feb",0,0,0.0344430329618334,0,0.00136538668057622,0.0425083400667205,0,0.120486641576927,0.00174657235175967,0,0.0149933128416903,0.0401854714064915,0.104599065635291,0.0290822923689279,0,0,0,0,0,0.0586284974931263,0.052460041075096,0.0600636275773196,0.0678022189598325,0,0.070179785372501,0,0.0451751390379549,0.034231609613984,0.034954534778378,0.0731636642841598,0
"Mar",0.0277075981876266,0,0.0392517884970453,0,0.00702637190678551,0.067328538628309,0,0.078250176994448,0.0554012749978168,0,0.0824280250592459,0.0351271603203597,0.212185034847208,0.064829815997261,0,0,0,0,0,0.123467572375869,0.097638181980534,0.088464481314433,0.0877084787369738,0,0.164315468355606,0,0.0882687741893518,0.034231609613984,0.0780709995638023,0.108727653300012,0
"Apr",0.0221953103793874,0.0487619047619048,0.0477738290551695,0,0.158476903487106,0.0902407219257754,0,0.125777844021314,0.143428521526504,0,0.135064955379838,0,0.165600827142529,0.0729163357582304,0,0,0,0,0,0.0850881449134724,0.131551924278953,0.0982603092783505,0.0881206228490289,0,0.153042104774146,0,0.155901388753374,0.0768390386016023,0.113004563298997,0.116608754551257,0
"May",0.00187918902553609,0.107333333333333,0.0476709679742024,0,0.231195250295322,0.154393235145881,0,0.0745239780899504,0.158361715134049,0,0.115496218431529,0.081635520584516,0.127192310637972,0.095912266025675,0,0,0,0,0,0.12078279152515,0.127058219483882,0.0971528672680412,0.0998772592717384,0,0.115784257552999,0,0.130695677627086,0.15877640203933,0.0871975975572929,0.124520421662147,0
"Jun",0.102520201282025,0.203914285714286,0.0659750973322979,0,0.233266342451253,0.139613116904935,0,0.172467116294668,0.13852065321806,0,0.226158911909399,0.140087115357594,0.0436930382170483,0.132435144887891,0,0,0,0,0,0.12747857027333,0.165316099651755,0.125100676546392,0.0942546509109287,0,0.10019047029128,0,0.103050704133737,0.15877640203933,0.0938454182464852,0.116636875142131,0
"Jul",0.136888480571273,0.202209523809524,0.117935372382828,0,0.127211082644248,0.0956127649021192,0,0.140496329694079,0.141210374639769,0,0.172951031230203,0.304763242939441,0.070479436317684,0.149064690981524,0,0,0,0,0,0.159987061297105,0.148953031520671,0.172267638530928,0.11290943659599,0,0.103674682936649,0,0.0849351156210362,0.126729788783685,0.0987820018118981,0.109911163385524,0
"Aug",0.208067984882968,0.248238095238095,0.106600081260254,0,0.0783333077642944,0.113512908103265,0,0.0992100458322465,0.11693301895031,0,0.158294031613443,0.124420401854714,0.0708623726736616,0.141265252672858,0,0,0,0,0,0.151301956978813,0.106697026520225,0.117408988402062,0.148185362566485,0,0.0380630874769655,0,0.116401600156113,0.124908958485069,0.0957202295070966,0.113248955258917,0
"Sep",0.0987200634748293,0.166504761904762,0.164413151817812,0,0.0656306092079223,0.0878687029496236,0,0.0915713380780266,0.133874770762379,0,0.0482570371587007,0.187087255866236,0.105901049245615,0.141180540113162,0,0,0,0,0,0.0809639333656801,0.0824984373604786,0.0813063788659794,0.117957449880869,0,0.142651408396178,0,0.0907568218037532,0.105972323379461,0.0965045465221622,0.089011451193658,0
"Oct",0.142233729355021,0.0177809523809524,0.192082782597962,0,0.0527438135710231,0.0710445683565468,0,0.0304430450497448,0.106820365033622,0,0.0211799119328625,0.0495995503723479,0,0.0787767977005246,0,0,0,0,0,0.0229985443959243,0.0412827038128404,0.0555835212628866,0.061322230511901,0,0.090264335599362,0,0.0499886167756204,0.0436999271667881,0.090309700365735,0.0417003909984766,0
"Nov",0.141753492159606,0.00525714285714286,0.0957688094344183,0,0.0179648067747726,0.0621524972199778,0,0.015854976338637,0.0037027333857305,0,0.010402246259493,0.0210762961922158,0,0.0413056087950462,0,0,0,0,0,0.00566068251657771,0.0141508170372355,0.0298203930412371,0.0248519891218021,0,0.00151756817442743,0,0.116547955898136,0.0364166059723234,0.0714525383350669,0.0105953495878499,0
"Dec",0.118033950681728,0,0.0731650868918981,0,0.0022398478130801,0.0555444443555548,0,0,0,0,0.004903916093761,0.0140508641281439,0,0.043141047588457,0,0,0,0,0,0.019262493934983,0.00981560853647647,0.027514900128866,0.0531515486991889,0,0.00151756817442743,0,0.00297590008781345,0.0353241077931537,0.115734993121498,0.0371778664051859,0
