"Month","Ak-Chin","ASARCO","AWBA","AZ State Land","AZWC","CAGRD","CAIDD","Chandler","EPCOR","FMYN","Gilbert","Glendale","Goodyear","GRIC","HIDD","HVID","Mesa","MSIDD","MWD","Oro Valley","OTHER","Peoria","Phoenix","SCAT","Scottsdale","SRPMIC","Surprise","Tempe","Tohono O'odham","Tucson","WMAT"
"Jan",0,0,1,0,0.675961132234897,0.989603766182817,0,0.270166073546856,0,0,0.142309427153811,0.00318001135718342,1,0.779423793510861,0,0,0,0,0,1,0.496173469387755,0.494393907340808,0.215847682217254,0,0.0453171077681138,0,1,0.106537530266344,0.583116362908071,1,0
"Feb",0,0,1,0,0.0746018440905281,0.993827737772374,0,0.505510826233096,0.0652315720808871,0,0.211893445340997,0.0617844026787643,1,0.921350827493663,0,0,0,0,0,1,0.600071497880599,0.565336871031934,0.339888402955814,0,0.168244422170249,0,1,0.0602564102564103,0.630551562381781,1,0
"Mar",0.0326220561482865,0,1,0,0.197328737613098,0.985249356122688,0,0.368227248816412,0.373792128211171,0,0.564518720874176,0.0464684014869888,1,0.974411119756667,0,0,0,0,0,1,0.71774590567462,0.633662652340088,0.458203020635245,0,0.278241032095658,0,1,0.0721412125863392,0.701620806633999,0.999696479158236,0
"Apr",0.0190413069179235,1,1,0,0.784358390280942,0.982022374091325,0,0.389443322757427,0.507289350135903,0,0.604783918190096,0,1,0.922163529499293,0,0,0,0,0,1,0.753705859030274,0.623602325729985,0.34356490223906,0,0.229202903592384,0,1,0.102926829268293,0.610827722233558,0.999559826865234,0
"May",0.00124021607320031,1,1,0,0.802663115845539,0.987817986384808,0,0.262691272082485,0.516667616388398,0,0.524955563455386,0.103889137237371,1,0.890499546661132,0,0,0,0,0,1,0.704174296036027,0.5781558923971,0.318933302592774,0,0.159846930049598,0,1,0.150344827586207,0.594594594594595,0.99909749063156,0
"Jun",0.118048710119491,1,1,0,0.783924520519695,0.974046270197862,0,0.435152540779392,0.435052111903456,0,0.668438937562126,0.15655177828374,1,0.850479788439743,0,0,0,0,0,1,0.796778670798231,0.631145875660301,0.286782608695652,0,0.134693452690746,0,1,0.161481481481481,0.628264165777503,0.99988470689348,0
"Jul",0.105163536035675,1,1,0,0.660401401720293,0.962743676494281,0,0.423580295455822,0.426987060998152,0,0.59517144856543,0.293623933937999,1,0.808210002551671,0,0,0,0,0,1,0.752415962833076,0.700065461091564,0.329161660366768,0,0.1346324002574,0,1,0.11424819435325,0.677989521561402,0.999966629588432,0
"Aug",0.183018660005877,1,1,0,0.574030354131535,0.971716203259827,0,0.303695676970457,0.391818341429157,0,0.582149226255537,0.147755715000834,1,0.83540446139074,0,0,0,0,0,1,0.667672449920375,0.62303664921466,0.408668165564617,0,0.0587405902736289,0,1,0.118973291710024,0.669934832384195,1,0
"Sep",0.152629370177874,1,1,0,0.583628922237381,0.970402438485665,0,0.341532902508512,0.49970663015842,0,0.304781663702826,0.22883904786457,1,0.873751201467975,0,0,0,0,0,1,0.601771640721683,0.553150684931507,0.384539944687445,0,0.202368137782562,0,1,0.125053717232488,0.720901087194912,0.999354838709677,0
"Oct",0.313353880123281,1,1,0,0.509182464454976,0.975557508513677,0,0.142882126617699,0.59378640776699,0,0.180762298911955,0.0656377835626627,0,0.867933577900782,0,0,0,0,0,1,0.505784536279846,0.46465241541828,0.23456037190891,0,0.13220385112608,0,1,0.0526546731022378,0.824917630832886,1,0
"Nov",0.606268976602965,1,1,0,0.383306055646481,0.986414423565262,0,0.0909090909090909,0.565333333333333,0,0.138498385921066,0.0337495781302734,0,0.877587241275872,0,0,0,0,0,1,0.297871340632489,0.354900551162233,0.123873502376704,0,0.00311427481886361,0,1,0.0516528925619835,0.865782385526249,1,0
"Dec",0.395702085958281,0,1,0,0.127067014795474,0.997987638349863,0,0,0,0,0.0804155444401693,0.0211774671749259,0,0.739716354979927,0,0,0,0,0,1,0.232817960393943,0.359842001316656,0.240967799129854,0,0.00372892964499068,0,1,0.0599505562422744,0.867981504199302,0.999342710661233,0
