"User","PTR","MUI","FED","NIA","Code","Turnout"
"Ak-Chin",47500,0,27500,0,"AKC","SGL"
"ASARCO",0,21000,0,0,"ASR","BLK"
"AWBA",0,0,0,0,"AWB","SGL"
"AZ State Land",0,32076,0,0,"ASL","HSY"
"AZWC",0,18137,0,0,"AWC","SGL"
"CAGRD",0,6426,0,0,"CGD","SGL"
"CAIDD",0,0,0,0,"CAD","SGL"
"Chandler",4064,8654,0,3924,"CHD","SGL"
"EPCOR",0,18513,0,0,"EPC","HSY"
"FMYN",0,0,18233,0,"FYN","HSY"
"Gilbert",6424,7235,0,3369,"GIL","SGL"
"Glendale",2850,17236,0,682,"GLN","HSY"
"Goodyear",0,10742,0,0,"GYR","HSY"
"GRIC",0,0,191200,120600,"GRC","SGL"
"HIDD",0,0,0,0,"HID","SGL"
"HVID",0,0,0,0,"HVD","LHQ"
"Mesa",2622,43503,0,5551,"MSA","SGL"
"MSIDD",0,0,0,0,"MSD","SGL"
"MWD",0,13460,0,0,"MWD","HSY"
"Oro Valley",0,10305,0,0,"ORO","PIC"
"OTHER",0,36241,27955,29998,"OTH","SGL"
"Peoria",0,25236,0,0,"PEO","HSY"
"Phoenix",4750,122204,0,37280,"PHX","HSY"
"SCAT",0,18145,43500,0,"SCT","HSY"
"Scottsdale",95,52810,500,3306,"SDL","HSY"
"SRPMIC",0,0,13300,0,"SIC","HSY"
"Surprise",0,10249,0,0,"SUR","HSY"
"Tempe",95,4315,0,23,"TPE","HSY"
"Tohono O'odham",0,0,45800,28200,"TOH","BRW"
"Tucson",0,144191,0,0,"TUC","BRW"
"WMAT",0,0,1218,0,"WMT","HSY"
