"datetime","Ak-Chin","ASARCO","AWBA","AZ State Land","AZWC","CAGRD","CAIDD","Chandler","EPCOR","FMYN","Gilbert","Glendale","Goodyear","GRIC","HIDD","HVID","Mesa","MSIDD","MWD","Oro Valley","OTHER","Peoria","Phoenix","SCAT","Scottsdale","SRPMIC","Surprise","Tempe","Tohono O'odham","Tucson","WMAT"
2016-01-01,1381,0,1266,0,134,895,138,2019,0,0,2085,321,703,2585,398,874,3921,131,0,89,4353,1260,8874,0,5447,0,0,300,897,5077,0
2016-02-01,5497,0,2220,0,247,2921,1660,1947,81,0,1163,581,1553,6785,1986,1985,3770,7941,0,1725,10589,1734,5829,0,6093,0,0,300,2400,8246,0
2016-03-01,7533,0,3360,0,771,2606,8136,3413,1197,0,2687,2278,2000,16329,5759,3543,4100,7347,0,2826,11376,1663,2947,0,11358,0,1878,350,6516,12173,0
2016-04-01,9399,0,5453,0,2898,6109,9059,1617,2790,0,6636,1396,3202,18945,6811,4224,4001,8951,0,500,8345,930,6175,0,5119,0,2246,350,7370,15917,0
2016-05-01,12770,0,5566,0,3161,11739,3319,2156,2767,0,5586,1225,1542,27959,8736,4415,4680,18383,0,953,8441,1187,12138,0,6647,0,500,400,4386,17373,0
2016-06-01,0,0,9028,6,702,10417,24766,2748,3062,0,6551,2018,0,29130,8912,5133,5388,20410,0,1355,13455,1214,14215,0,7188,0,500,450,6250,16054,0
2016-07-01,10262,0,13848,7,713,4267,22747,2053,3321,0,5155,3195,0,38895,0,5647,5476,10201,0,1444,12134,3695,19790,0,7513,0,0,493,6293,16679,0
2016-08-01,6731,0,5650,4,513,6010,15518,2154,2538,0,3220,1776,0,25897,2949,4691,4972,8306,0,858,9534,3972,19573,0,6291,0,0,500,4476,15683,0
2016-09-01,3206,0,5936,4,976,2687,8726,1725,3038,0,2024,1039,0,29007,2000,1653,4456,6170,0,369,11680,3884,13564,0,6365,0,125,306,4496,15358,0
2016-10-01,2522,0,7659,3,1666,756,0,1827,2091,0,1301,1815,0,17112,0,943,4685,8043,0,0,6832,920,13719,0,9166,0,0,400,2394,4950,0
2016-11-01,737,0,4639,1,1241,2727,0,1258,0,0,1493,1453,0,5097,0,451,3937,1594,0,0,3256,760,11774,0,5235,0,4817,300,1319,5269,0
2016-12-01,2272,0,1139,3,163,1052,0,1143,0,0,1140,1670,0,14522,0,723,3488,3472,0,186,2444,1144,7868,0,3576,0,183,250,3290,12002,0
2017-01-01,1834,0,300,0,77,22,117,666,0,0,911,1744,0,470,78,4,3186,2174,0,259,3084,709,13669,0,4080,0,0,252,1425,9080,0
2017-02-01,3709,0,410,2,139,919,211,954,368,0,340,1730,238,2516,817,626,3209,2974,0,250,5886,1488,9764,0,3758,0,754,117,2158,6008,0
2017-03-01,9218,0,710,21,317,3000,7996,611,912,0,2812,1699,2032,8690,3994,1310,4132,12789,0,1005,13173,2201,8676,0,7056,0,300,0,4310,12680,0
2017-04-01,8500,0,610,10,5654,3603,11705,3746,2544,0,7671,1449,3731,11312,6970,2942,4052,12017,0,250,14936,1513,14054,0,8938,0,1954,200,6614,12656,0
2017-05-01,11938,1457,740,28,2892,8755,4945,2191,2745,0,4836,1653,2743,12594,6499,3707,5025,11421,0,1013,11977,2092,17352,0,10848,0,1877,450,4078,13370,0
2017-06-01,0,5998,766,11,763,6014,24164,3387,2900,0,9259,2748,0,18273,10352,3592,5682,18989,0,1810,10328,3889,18568,0,12100,0,1000,450,5057,14135,0
2017-07-01,8766,3196,4744,7,2960,3624,24924,2452,3269,0,9993,3151,0,19062,1364,3949,5420,9024,0,1600,7578,4277,19144,0,9500,0,1479,580,4286,15890,0
2017-08-01,9029,4330,1219,2,608,1060,16699,2516,2789,0,15432,2155,0,24640,1154,3386,4945,11429,0,2309,7412,1122,21595,0,5792,0,2385,481,5726,14753,0
2017-09-01,5460,6019,1050,6,449,866,6870,3241,3466,0,5236,1783,0,25947,0,2155,4885,8341,0,1809,8071,2002,19230,0,5260,0,0,469,6240,12315,0
2017-10-01,3462,0,3187,5,415,804,0,2183,1892,0,3472,1462,0,14702,0,1632,4628,1657,0,0,6884,2027,14478,0,5633,0,500,347,4435,5831,0
2017-11-01,1531,0,2329,3,358,3805,0,1731,0,0,1023,1433,0,10358,0,909,4634,1447,0,0,4433,914,11496,0,4217,0,0,300,2794,615,0
2017-12-01,1830,0,1565,15,262,4222,254,1133,0,0,1592,1125,0,15161,0,1710,4658,3364,0,0,3040,825,15881,0,3886,0,0,237,6754,347,0
2018-01-01,2695,0,1335,5,112,315,84,791,0,0,1262,1905,0,317,888,400,2452,3020,0,546,4970,3277,14352,0,4174,0,417,200,1975,6158,0
2018-02-01,2762,0,4067,1,198,4093,363,509,232,0,1382,2182,0,2841,1287,411,2157,1804,0,650,7600,1802,13932,0,5126,0,1500,243,2081,10882,0
2018-03-01,8796,0,3562,0,276,4789,7153,2473,2138,0,6971,1555,0,4709,4975,1110,3473,5323,0,1753,12198,1676,10237,0,4485,0,2583,253,3002,13484,0
2018-04-01,9755,0,3226,2,612,6328,13996,3822,2773,0,5888,1679,0,12192,9027,3177,4426,14969,0,2460,15115,2270,17743,0,7664,0,1117,450,5960,14390,0
2018-05-01,12092,0,2963,2,6261,2341,10284,1909,2372,0,7639,1765,0,17061,10074,3434,5255,20569,0,1750,11554,3463,19673,0,7673,0,967,500,7237,15130,0
2018-06-01,4910,1146,3034,302,5901,2216,13928,2140,2760,0,11262,1819,0,37025,1645,3954,6003,20160,0,1107,14169,4268,20150,0,6660,0,1167,450,5254,11982,0
2018-07-01,9679,6306,2271,1,754,2058,13859,2695,2900,0,7221,2063,0,54178,1121,4181,5920,15588,0,1427,20042,2999,19163,0,6416,0,417,494,7016,9729,0
2018-08-01,6421,5574,2621,0,584,11705,15883,2438,2820,0,2507,2197,0,42222,0,4085,5402,8344,0,312,12491,5102,17470,0,6239,0,0,501,3448,15872,0
2018-09-01,4956,5555,12435,0,1770,3374,8552,2717,2366,0,2674,2008,0,35354,0,2107,4852,178,0,300,7946,1599,14870,0,10572,0,2081,451,3043,14379,0
2018-10-01,1132,1867,11488,0,460,2755,143,2284,1965,0,2696,1864,0,13813,0,411,3996,0,0,0,3649,969,9606,0,5666,0,0,351,3376,6513,0
2018-11-01,4337,552,3331,0,352,2136,1048,1918,100,0,2670,1670,0,17755,0,2141,4386,571,0,0,3496,841,13094,0,5591,0,0,350,6601,1166,0
2018-12-01,996,0,1167,17,285,897,133,1457,0,0,1192,1576,0,9031,67,1828,5186,2160,0,0,2770,1268,16634,0,4570,0,0,250,5451,3642,0
2019-01-01,431,0,0,15,118,371,10,1119,0,0,1820,1708,0,686,201,133,2629,1078,0,650,2830,832,10990,0,3892,0,224,300,1274,10767,0
2019-02-01,2533,0,0,358,72,51,47,1471,290,0,2423,1312,0,5262,175,149,2559,1291,0,400,2882,2155,12528,0,3733,0,224,300,1203,8895,0
2019-03-01,5731,0,0,7,252,1131,3333,1618,1971,0,2002,1431,0,10137,2106,493,3159,1316,0,650,7011,3489,15853,0,4892,0,224,0,2390,12978,0
2019-04-01,8808,0,0,9,519,1820,16101,3194,2392,0,2753,1653,0,7666,4270,2137,4559,15102,0,650,15417,3519,16845,0,10176,0,1224,350,6588,17503,0
2019-05-01,10272,1087,0,661,5107,5193,5530,2909,2664,0,3436,2256,0,7288,1842,2076,4991,14476,0,650,14868,3564,21884,0,5980,0,1224,750,3691,17886,0
2019-06-01,11718,4112,0,15,4271,5950,15081,5578,2909,0,3342,2173,0,11105,7638,3656,5715,22253,0,1306,20966,4510,14019,0,6963,0,1729,450,5835,22149,0
2019-07-01,13704,5359,0,16,743,2903,21255,3426,2879,0,3818,2583,0,9791,10275,5536,6418,17587,0,2479,20370,6732,14881,0,9170,0,1227,493,7705,19374,0
2019-08-01,14950,6212,0,10,1950,1645,18892,3078,2882,0,3676,1854,0,18139,3966,5302,6181,12033,0,2625,19675,2164,20290,0,8034,0,1025,401,9408,17384,0
2019-09-01,6299,4230,0,14,2673,1604,9564,3149,2639,0,4597,2417,0,21730,0,2958,5380,3449,0,645,8897,1324,18738,0,8120,0,1124,301,5435,9364,0
